"pccode","casnum","pcname"
169,628637,"Acetic acid, pentyl ester"
169,628637,"Amyl acetate"
169,628637,"Acetic acid, pentyl ester"
174,137166,"Secosyl"
174,137166,"N-Methyl-N-(1-oxododecyl)glycine, sodium salt"
174,137166,"Gardol"
174,137166,"N-Lauroylsarcosine, sodium salt"
174,137166,"Hamposyl L 30"
174,137166,"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt"
174,137166,"Medialan LL-99"
174,137166,"Sarkosyl NL"
174,137166,"Sodium N-lauroylsarcosinate"
174,137166,"Maprosyl 30"
177,67685,"Dimethyl sulfoxide"
177,67685,"DMSO"
177,67685,"Methane, sulfinylbis-"
203,10101414,"Calcium sulfate dihydrate"
203,10101414,"Gypsum (Ca(SO4).2H2O)"
207,110270,"Revenge, component of(with 000208 and 000209)"
207,110270,"Tetradecanoic acid, 1-methylethyl ester"
207,110270,"Isopropyl myristate"
208,142916,"Isopropyl palmitate"
208,142916,"Hexadecanoic acid, 1-methylethyl ester"
208,142916,"Revenge, component of(with 000207 and 000209)"
209,112107,"Revenge, component of(with 000207 and 000208)"
209,112107,"Isopropyl stearate"
298,814802,"Calcium lactate"
298,814802,"Calcium lactate pentahydrate"
315,119619,"Benzophenone"
315,119619,"Methanone, diphenyl-"
325,220899036,"METRAFENONE"
325,220899036,"BAS560 F (BASFdesignations a.i. name)"
325,220899036,"(3-bromo-6-methoxy-2-methylphenyl)(2,3,4-trimethoxy-6-methylphenyl)methanone"
352,12124979,"Ammonium bromide"
401,91496,"N-Butylacetanilide"
401,91496,"Acetamide, N-butyl-N-phenyl-"
439,70592802,"Amine oxides, C10-16-alkyldimethyl"
439,70592802,"Amines, C10-16-alkyldimethyl, N-oxides"
501,8048520,"Acridinium, 3,6-diamino-10-methyl-, chloride, mixt. with 3,6-acridinediamine"
501,8048520,"Acriflavine (neutral base)"
501,8048520,"3,6-Acridinediamine, mixt. with 3,6-diamino-10-methylacridinium chloride"
501,8048520,"Neutral acriflavine"
501,8048520,"Gonacrine"
501,8048520,"Trypaflavin"
501,8048520,"Euflavine"
501,8048520,"3,6-Diamino-10-methylacridinium chloride & 3,6-diaminoacridine, mixt."
501,8048520,"Neutroflavine"
501,8048520,"Trypaflavine neutral"
586,149877418,"Bifenazate"
586,149877418,"D 2341"
586,149877418,"Hydrazinecarboxylic acid, 2-(4-methoxy{1,1'-biphenyl}-3-yl)-, 1-methylethyl ester"
595,79210,"Hydrogen peroxide"
595,79210,"Actril II, component of (with 063201)(Cold Sterilant)"
595,79210,"Superoxol"
595,79210,"Actril, component of(with 063201) (Cold Sterilant)"
595,79210,"Albone"
595,79210,"Hydrogen dioxide"
595,7722841,"Hydrogen peroxide"
595,7722841,"Actril II, component of (with 063201)(Cold Sterilant)"
595,7722841,"Superoxol"
595,7722841,"Actril, component of(with 063201) (Cold Sterilant)"
595,7722841,"Albone"
595,7722841,"Hydrogen dioxide"
596,10102440,"Nitrogen dioxide"
601,107131,"Carbacryl, component of(with 016501)"
601,107131,"2-Propenenitrile"
601,107131,"Acrylofume, component of(with 016501, 020701 and 081501)"
601,107131,"Vinyl cyanide"
601,107131,"Acrylon, component of (with 016501)"
601,107131,"Acritet, component of(with 016501)"
601,107131,"Ventox, component of(with 016501)"
601,107131,"Acrylonitrile"
601,107131,"Cyanoethylene"
611,68911499,"Dried blood"
611,68911499,"Blood, glyoxal-denatured, dried"
611,68911499,"Bloodmeal Deer Repellant"
660,58082,"1H-Purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-"
660,58082,"1,3,7-Trimethylxanthine"
660,58082,"Caffein"
660,58082,"7-Methyltheophylline"
660,58082,"1,3,7-Trimethyl-2,6-dioxopurine"
660,58082,"Caffeine"
669,8006824,"Oils, black pepper"
669,8006824,"Oil of black pepper"
669,8002560,"Oils, black pepper"
669,8002560,"Oil of black pepper"
691,131577,"Oxybenzone"
691,131577,"Methanone, (2-hydroxy-4-methoxyphenyl)phenyl-"
691,131577,"2-Hydroxy-4-methoxybenzophenone"
692,365400119,"Methanone, (5-hydroxy-1,3-dimethyl-1H-pyrazol-4-yl) [2-(methylsulfonyl)-4-(trifluoromethyl) phenyl]-"
692,365400119,"Pyrasulfotole Technical"
701,107028,"Crolean"
701,107028,"Acrylaldehyde"
701,107028,"NSC 8819"
701,107028,"2-Propen-1-one"
701,107028,"Acrylic aldehyde"
701,107028,"Magnacide H"
701,107028,"Prop-2-en-1-al"
701,107028,"Acquinite"
701,107028,"Acrolein"
701,107028,"Allyl aldehyde"
701,107028,"2-Propenal"
701,107028,"Aqualin"
711,71317732,"Navel orangeworm pheromone"
711,71317732,"(Z,Z)-11,13-Hexadecadienal"
711,71317732,"Paramount puffer now"
711,71317732,"11,13-Hexadecadienal, (Z,Z)-"
803,435327063,"3-Ketopetromyzonol-24-sulfate, ammonium salt"
905,68439576,"Sodium C14-16 alpha-olefin sulfonate"
905,68439576,"Alkenes, C14-16 alpha-, sulfonated, sodium salts"
905,68439576,"Sodium (C14-16) olefin sulfonate"
905,68439576,"Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts"
1001,828002,"2,6-Dimethyl-m-dioxan-4-ol acetate"
1001,828002,"2,6-Dimethyl-m-dioxan-4-yl acetate"
1001,828002,"1,3-Dioxan-4-ol, 2,6-dimethyl-, acetate"
1001,828002,"Dimethoxane"
1001,828002,"6-Acetoxy-2,4-dimethyl-m-dioxane"
1001,828002,"2,6-Dimethyl-1,3-dioxan-4-ol acetate"
1001,828002,"Acetomethoxane"
1501,64175,"Denatured Alcohol (Brenntag) (5% Isopropyl/4/5% Methanol as denaturants) ---2/22/10"
1501,64175,"Alcohol(ethyl)"
1501,64175,"Ethyl alcohol"
1501,64175,"Specially Denatured Ethyl Alcohol 3A (5% Methanol) (Grain Processing Corp) ---2/18/2011"
1501,64175,"Ethanol"
1502,78922,"2-Butyl alcohol"
1502,78922,"2-Butanol"
1502,78922,"1-Methyl-1-propanol"
1502,78922,"2-Butanol"
1502,78922,"sec-Butanol"
1502,78922,"2-Hydroxybutane"
1502,78922,"sec-Butyl alcohol"
1503,60128,"2-Phenylethanol"
1503,60128,"beta-Phenethyl alcohol"
1503,60128,"Phenethyl alcohol"
1503,60128,"beta-Hydroxyethylbenzene"
1503,60128,"2-Phenylethyl alcohol"
1504,53466890,"Diisobutylphenoxyethanol"
1505,75650,"tert-Butyl alcohol"
1505,75650,"1,1-Dimethylethanol"
1505,75650,"2-Methyl-2-propanol"
1505,75650,"tert-Butanol"
1506,26468791,"tert-Butylphenol polyethoxylate"
1506,26468791,"Oxyethylated tert-Butylphenol"
1507,78831,"Isobutyl alcohol"
1507,78831,"2-Methyl-1-propanol"
1507,78831,"Isobutanol"
1508,36653824,"Ethal"
1508,36653824,"Crodacol-Cas"
1508,36653824,"Hexadecyl alcohol"
1508,36653824,"Cetanol"
1508,36653824,"CO-1670"
1508,36653824,"Dytol F-11"
1508,36653824,"Palmityl alcohol"
1508,36653824,"Alcohol, C16"
1508,36653824,"Cetyl alcohol"
1508,36653824,"Cachalot C-50"
1508,36653824,"Loxanol K"
1508,36653824,"Ethol"
1508,36653824,"Product 308"
1508,36653824,"Cetal"
1508,36653824,"Cetylol"
1508,36653824,"1-Hexadecanol"
1508,36653824,"Cetaffine"
1508,36653824,"Lorol 24"
1508,36653824,"Atalco C"
1509,112538,"Lauryl alcohol"
1509,112538,"Alcohol, C12"
1509,112538,"1-Dodecanol"
1509,112538,"1-Hydroxydodecane"
1509,112538,"Dodecyl alcohol"
1510,112721,"1-Tetradecanol"
1510,112721,"Alcohol, C14"
1510,112721,"Myristic alcohol"
1510,112721,"Myristyl alcohol"
1510,112721,"Tetradecyl alcohol"
1702,39652341,"Benzoic acid, 3,5-dichloro-4-methyl-"
1702,39652341,"3,5-Dichloro-4-methylbenzoicacid"
1702,39652341,"p-Toluic acid, 3,5-dichloro-"
1702,39652341,"RH-24549"
2001,1399708,"Hellebore alkaloids"
2001,1399708,"Helleborein"
2201,71625,"Cevadilla"
2201,71625,"Cevadine(component of Veratrine)"
2201,71625,"Veratridine(component of Veratrine)"
2201,71625,"ENT 123"
2201,71625,"Veratridine(component of Veratrine)"
2201,71625,"Veratridine(component of Veratrine)"
2201,71625,"Asagraea officinalis"
2201,71625,"Veratin"
2201,71625,"Sabadilla alkaloids"
2201,71625,"2H-4,16a-Epoxybenzo(7,8)fluoreno(2,1-b)quinolizine, cevane-3,4,12,14,16,17,20-heptol deriv."
2201,71625,"Cevine"
2201,71625,"Veratrine(mixture, Cevadine + Veratridine, with other alkaloids)"
2201,71625,"Veratridine(component of Veratrine)"
2201,71625,"2H-4,16a-Epoxybenzo(7,8)fluoreno(2,1-b)quinolizine, cevane-3,4,12,14,16,17,20-heptol deriv."
2201,8051023,"Cevadilla"
2201,8051023,"Cevadine(component of Veratrine)"
2201,8051023,"Veratridine(component of Veratrine)"
2201,8051023,"ENT 123"
2201,8051023,"Veratridine(component of Veratrine)"
2201,8051023,"Veratridine(component of Veratrine)"
2201,8051023,"Asagraea officinalis"
2201,8051023,"Veratin"
2201,8051023,"Sabadilla alkaloids"
2201,8051023,"2H-4,16a-Epoxybenzo(7,8)fluoreno(2,1-b)quinolizine, cevane-3,4,12,14,16,17,20-heptol deriv."
2201,8051023,"Cevine"
2201,8051023,"Veratrine(mixture, Cevadine + Veratridine, with other alkaloids)"
2201,8051023,"Veratridine(component of Veratrine)"
2201,8051023,"2H-4,16a-Epoxybenzo(7,8)fluoreno(2,1-b)quinolizine, cevane-3,4,12,14,16,17,20-heptol deriv."
2201,62599,"Cevadilla"
2201,62599,"Cevadine(component of Veratrine)"
2201,62599,"Veratridine(component of Veratrine)"
2201,62599,"ENT 123"
2201,62599,"Veratridine(component of Veratrine)"
2201,62599,"Veratridine(component of Veratrine)"
2201,62599,"Asagraea officinalis"
2201,62599,"Veratin"
2201,62599,"Sabadilla alkaloids"
2201,62599,"2H-4,16a-Epoxybenzo(7,8)fluoreno(2,1-b)quinolizine, cevane-3,4,12,14,16,17,20-heptol deriv."
2201,62599,"Cevine"
2201,62599,"Veratrine(mixture, Cevadine + Veratridine, with other alkaloids)"
2201,62599,"Veratridine(component of Veratrine)"
2201,62599,"2H-4,16a-Epoxybenzo(7,8)fluoreno(2,1-b)quinolizine, cevane-3,4,12,14,16,17,20-heptol deriv."
2202,41710207,"2H-12,3,6a-Ethanylylidene-7,9-methanonapth(2,3-b)azocine, aconitane-1,6,14-triol deriv."
2202,41710207,"Bicoloridine"
2202,41710207,"2H-12,3,6a-Ethanylylidene-7,9-methanonapth(2,3-b)azocine, aconitane-1,6,14-triol deriv."
2202,41710207,"Larkspur alkaloid"
2202,41710207,"Alkaloid A, from Delphinium bicolor"
2301,17617457,"Picrotoxinin(component of Picrotoxin)"
2301,17617457,"Cocculin"
2301,17617457,"Picrotoxin"
2301,17617457,"Picrotin(component of Picrotoxin)"
2301,17617457,"Picrotin(component of Picrotoxin)"
2301,17617457,"Picrotin(component of Picrotoxin)"
2301,17617457,"Picrotin, compd. with Picrotoxinin (1:1)"
2301,17617457,"Picrotin(component of Picrotoxin)"
2301,17617457,"Picrotoxinin(component of Picrotoxin)"
2301,17617457,"Picrotoxinin(component of Picrotoxin)"
2301,21416535,"Picrotoxinin(component of Picrotoxin)"
2301,21416535,"Cocculin"
2301,21416535,"Picrotoxin"
2301,21416535,"Picrotin(component of Picrotoxin)"
2301,21416535,"Picrotin(component of Picrotoxin)"
2301,21416535,"Picrotin(component of Picrotoxin)"
2301,21416535,"Picrotin, compd. with Picrotoxinin (1:1)"
2301,21416535,"Picrotin(component of Picrotoxin)"
2301,21416535,"Picrotoxinin(component of Picrotoxin)"
2301,21416535,"Picrotoxinin(component of Picrotoxin)"
2301,124878,"Picrotoxinin(component of Picrotoxin)"
2301,124878,"Cocculin"
2301,124878,"Picrotoxin"
2301,124878,"Picrotin(component of Picrotoxin)"
2301,124878,"Picrotin(component of Picrotoxin)"
2301,124878,"Picrotin(component of Picrotoxin)"
2301,124878,"Picrotin, compd. with Picrotoxinin (1:1)"
2301,124878,"Picrotin(component of Picrotoxin)"
2301,124878,"Picrotoxinin(component of Picrotoxin)"
2301,124878,"Picrotoxinin(component of Picrotoxin)"
4001,584792,"Pallethrine"
4001,584792,"Allethrine"
4001,584792,"DL-2-Allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one-DL-chrysanthemum monocarboxylate"
4001,584792,"Chrysanthemummonocarboxylic acid allethrolone ester"
4001,584792,"Cinerin l allyl homolog"
4001,584792,"Allyl homologue of Cinerin I"
4001,584792,"(.+-.)-Allelrethonyl (.+-.)-cis,trans-chrysanthemate"
4001,584792,"2-Allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one ester of 2,2-dimethyl-3-(2-methylpropenyl)cyclopropanecarboxylic acid"
4001,584792,"Necarboxylic acid"
4001,584792,"DL-3-Allyl-2-methyl-4-oxocyclopent-2-enyl-DL-chrysanthemete"
4001,584792,"Allethrin racemic mixture"
4001,584792,"Chrysanthemic acid, ester with (RS)-allethrolone"
4001,584792,"Allethrin"
4001,584792,"Allethrin"
4001,584792,"ENT 16275"
4001,584792,"(.+-.)-cis,trans-Chrysanthemumic acid ester of (.+-.) allethrolone"
4001,584792,"FDA 1446"
4001,584792,"FMC 249"
4001,584792,"2-Methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl 2,2-dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylate"
4001,584792,"Pynamin"
4001,584792,"Pyresin"
4001,584792,"NIA 249"
4001,584792,"ENT 17510"
4001,584792,"Exthrin"
4001,584792,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl ester"
4001,584792,"Allethrin"
4003,28057489,"AI 3-29024"
4003,28057489,"trans-(+)-2,2-Dimethyl-S-(2-methylpropenyl)cyclopropanecarboxylic acid ester with (.+-.)-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4003,28057489,"2-Methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl d-trans-2,2-dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylate"
4003,28057489,"(+-)-Allethronyl (+-)trans-chrysanthemate"
4003,28057489,"2-Allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one ester of d-trans-2,2-dimethyl-3-(2-methylpropenyl)cyclopropanecarboxylic acid"
4003,28057489,"DL-2-Allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one ester of D-trans-2,2-dimethyl-3-(2-methylpropenyl)cyclopropanecarboxlic acid"
4003,28057489,"Bioallethrin"
4003,28057489,"(+)-trans-Chrysanthemic acid, ester with (RS)-allethrolone"
4003,28057489,"d-trans-Allethrin"
4003,28057489,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methylpropenyl)-, (+)-(E)-, ester with (+)-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4003,28057489,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl ester, trans-(+)-"
4003,28057489,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methylpropenyl)-, trans-(+-), ester with (+-)-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4003,28057489,"d-trans-Chrysanthemum monocarboxylic ester of dl-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4003,584792,"AI 3-29024"
4003,584792,"trans-(+)-2,2-Dimethyl-S-(2-methylpropenyl)cyclopropanecarboxylic acid ester with (.+-.)-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4003,584792,"2-Methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl d-trans-2,2-dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylate"
4003,584792,"(+-)-Allethronyl (+-)trans-chrysanthemate"
4003,584792,"2-Allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one ester of d-trans-2,2-dimethyl-3-(2-methylpropenyl)cyclopropanecarboxylic acid"
4003,584792,"DL-2-Allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one ester of D-trans-2,2-dimethyl-3-(2-methylpropenyl)cyclopropanecarboxlic acid"
4003,584792,"Bioallethrin"
4003,584792,"(+)-trans-Chrysanthemic acid, ester with (RS)-allethrolone"
4003,584792,"d-trans-Allethrin"
4003,584792,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methylpropenyl)-, (+)-(E)-, ester with (+)-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4003,584792,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl ester, trans-(+)-"
4003,584792,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methylpropenyl)-, trans-(+-), ester with (+-)-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4003,584792,"d-trans-Chrysanthemum monocarboxylic ester of dl-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4004,28434006,"Esbiol"
4004,28434006,"d-trans-Chrysanthemum monocarboxylic acid ester of d-2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one"
4004,28434006,"(+)-trans-Chrysanthemic acid, ester with (R)-allethrolone"
4004,28434006,"d-2-Allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one ester of d-trans-2,2-dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid"
4004,28434006,"S-Bioallethrin"
4004,28434006,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl ester, {1R-{1.alpha.(S*),3.beta.}}-"
4005,51344606,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-(2-propenyl)-2-cyclopenten-1-yl ester, (1.alpha.(S*),3.beta.)-(.+-).-"
4005,51344606,"d-Allethrin"
4005,51344606,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-(2-propenyl)-2-cyclopenten-1-yl ester, (1.alpha.(S*),3.beta.)-(.+-).-"
4005,51344606,"(1R)-cis,trans-Chrysanthemic acid, ester with (RS)-allethrolone"
4005,51344606,"d-cis-trans-Allethrin"
4005,51344606,"Pynamin-Forte"
4005,584792,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-(2-propenyl)-2-cyclopenten-1-yl ester, (1.alpha.(S*),3.beta.)-(.+-).-"
4005,584792,"d-Allethrin"
4005,584792,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-(2-propenyl)-2-cyclopenten-1-yl ester, (1.alpha.(S*),3.beta.)-(.+-).-"
4005,584792,"(1R)-cis,trans-Chrysanthemic acid, ester with (RS)-allethrolone"
4005,584792,"d-cis-trans-Allethrin"
4005,584792,"Pynamin-Forte"
4005,42534612,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-(2-propenyl)-2-cyclopenten-1-yl ester, (1.alpha.(S*),3.beta.)-(.+-).-"
4005,42534612,"d-Allethrin"
4005,42534612,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-(2-propenyl)-2-cyclopenten-1-yl ester, (1.alpha.(S*),3.beta.)-(.+-).-"
4005,42534612,"(1R)-cis,trans-Chrysanthemic acid, ester with (RS)-allethrolone"
4005,42534612,"d-cis-trans-Allethrin"
4005,42534612,"Pynamin-Forte"
4006,72963725,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-,[2,5-dioxo-3-(2-propynyl)-1-imidazolidinyl]methyl ester"
4006,72963725,"Imiprothrin"
4006,72963725,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propen-1-yl)-,[2,5-dioxo-3-(2-propyn-1-yl)-1-imidazolidinyl]methyl ester"
4007,584792,"Esbiothrin"
4007,584792,"Esbiothrin"
4049,80717,"Maple lactone"
4049,80717,"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-"
4049,80717,"2-Hydroxy-3-methyl-cyclo-pent-2-en-1-one"
4052,97110,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 3-(2-cyclopenten-1-yl)-2-methyl-4-oxo-2-cyclopenten-1-yl ester"
4052,97110,"Chrysanthemummonocarboxylic acid, 3-(2-cyclopenten-1-yl)-2-methyl-4-oxo-2-cyclopenten-1-yl ester"
4052,97110,"Cyclethrin"
4100,47117168,"Podacarpa-7,13-dien-15-amine, 13-isopropyl-"
4100,47117168,"1-Phenanthrenemethanamine, 1,2,3,4,4a,4b,5,6,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-, (1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.))-"
4100,47117168,"Abietylamine"
4100,47117168,"Podacarpa-7,13-dien-15-amine, 13-isopropyl-"
4100,47117168,"1-Phenanthrenemethanamine, 1,2,3,4,4a,4b,5,6,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-, (1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.))-"
4101,51344606,"Ethoxylated abietylamine"
4101,51344606,"Abietylamine, polyoxyethylene condensate"
4101,51344606,"Polyoxyethylene condensate with abietylamine"
4115,10543574,"N,N,N',N'-Tetraacetylethylenediamine"
4115,10543574,"TAED"
4115,10543574,"Diacetamide, N.N'-ethylenebis-"
4115,10543574,"Tetraacetylethylenediamine"
4115,10543574,"N,N'-ethylenebis?diacetamideU"
4201,2026246,"1-Phenanthrenemethanamine, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, acetate, ?1R-(1.alpha.,4a.beta.,10a.alpha.)-"
4201,2026246,"Dehydroabietylamine acetate"
4201,2026246,"Rosin amine D acetate"
4201,2026246,"Podocarpa-8,11,13-trien-15-amine, 13-isopropyl-, acetate"
4201,2026246,"Dehydroabietylamine, acetic acid salt"
4201,2026246,"Delrad"
4202,35109570,"Fungamin"
4202,35109570,"Phenol, pentachloro-, compd. with (1R-(1.alpha.,4a.beta.,10a.alpha.))-1,2,3,4,4a,10,10a-octahydro-1,4-a-dimethyl-7-(1-methylethyl)-1-phenanthrenemethanamine (1:1)"
4202,35109570,"Dehydroabietylamine, compound with pentachlorophenol"
4202,35109570,"Phenol, pentachloro-, compd. with (1R-(1.alpha.,4a.beta.,10a.alpha.))-1,2,3,4,4a,10,10a-octahydro-1,4-a-dimethyl-7-(1-methylethyl)-1-phenanthrenemethanamine (1:1)"
4202,35109570,"Dehydroabietylamine pentachlorophenate"
4202,35109570,"Dehydroabietylammonium pentachlorophenoxide"
4203,51344628,"Poly(oxy-1,2-ethanediyl),.alpha.,.alpha.'-((((1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenyl)methyl)imino)di-2,1-ethanediyl)bis(.omega.-hydroxy-, (1R-(1-.alpha.,4a.beta.,10a.alpha.))-"
4203,51344628,"Dehydroabietylamine - ethylene oxide condensate"
4203,51344628,"Poly(oxy-1,2-ethanediyl),.alpha.,.alpha.'-((((1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenyl)methyl)imino)di-2,1-ethanediyl)bis(.omega.-hydroxy-, (1R-(1-.alpha.,4a.beta.,10a.alpha.))-"
4203,51344628,"Ethoxylated dehydroabietylamine"
4204,53404276,"Bis(dehydroabietyl)amine acetate"
4204,53404276,"Di(dehydroabietyl)amine acetate"
4205,107153,"NCI-C60402"
4205,107153,"Busan 881, component of(with 039002 and 063301)"
4205,107153,"1,2-Ethanediamine"
4205,107153,"Dimethylenediamine"
4205,107153,"1,2-Diaminoethane"
4205,107153,"Ethylenediamine"
4206,1446613,"Amine D"
4206,1446613,"Dehydroabietylamine"
4206,1446613,"Rosin amine D"
4206,1446613,"1-Phenanthrenemethanamine, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, ?1R-(1.alpha.,4a.beta.,10a.alpha.)-"
4206,1446613,"Podocarpa-8,11,13-trien-15-amine, 13-isopropyl-"
4207,53494589,"Tetrahydroabietylamine acetate"
4207,53494589,"Rosin amine acetate"
4208,102716,"TEA"
4208,102716,"Triethylolamine"
4208,102716,"2,2',2""-Nitrilotris(ethanol)"
4208,102716,"Tris(2-hydroxyethyl)amine"
4208,102716,"Sterolamide"
4208,102716,"Trolamine"
4208,102716,"Triethanolamine"
4209,122203,"Triisopropanolamine"
4209,122203,"1,1',1""-Nitrilotris(2-propanol)"
4209,122203,"Tris(2-hydroxypropyl)amine"
4210,3424213,"Triisopropylamine"
