ChemicalName,CASNumber
CHLORINE DIOXIDE,10049-04-4
CHLORMEQUAT CHLORIDE,999-81-5
4-CHLORO-2-CYCLOPENTYLPHENOL,13347-42-7
(+-)-2-(4-CHLORO-2-METHYLPHENOXY)PROPIONIC ACID,7085-19-0
1-CHLORO-2-NITROPROPANE,2425-66-3
"4-CHLORO-3,5-XYLENOL",88-04-0
"2-CHLORO-N,N-DI-2-PROPENYLACETAMIDE",93-71-0
(4-CHLORO-O-TOLYLOXY)BUTYRIC ACID,94-81-5
3-CHLORO-P-TOLUIDINE,7745-89-3
"1-(3-CHLOROALLYL)-3,5,7-TRIAZA-1-AZONIAADAMANTANE CHLORIDE",4080-31-3
CHLOROBENZENE,108-90-7
CHLOROBENZILATE,510-15-6
"1-(2-(2-CHLOROETHOXY)PHENYLSULFONYL)-3-(4-METHOXY-6-METHYL-1,3,5-- TRIAZIN-2-YL)UREA (IUPAC)",82097-50-5
CHLOROFORM,67-66-3
CHLORONEB,2675-77-6
CHLOROPHACINONE,3691-35-8
2-CHLOROPHENOL,95-57-8
(4-CHLOROPHENOXY)ACETIC ACID,122-88-3
CHLOROPICRIN,76-06-2
CHLOROPROPHAM,101-21-3
CHLOROPROPYLATE,1437871
CHLOROTHALONIL,1897-45-6
CHLOROXURON,1982-47-4
CHLORPYRIFOS,2921-88-2
CHLORPYRIFOS METHYL,5598-13-0
CHLORSULFURON,64902-72-3
CHOLECALCIFEROL,67-97-0
CHROMIC ACID,7738-94-5
"CHROMIC ACID (H2CR2O7), DISODIUM SALT ,DIHYDRATE",7789-12-0
CHROMIUM TRIOXIDE,1333-82-0
CITRIC ACID,77-92-9
CLETHODIM (SELECT HERBACIDE),99129-21-2
CLODINAFOP-PROPARGYL,105512-06-9
CLOFENTEZINE,74115-24-5
CLOMAZONE (DIMETHAZONE),81777-89-1
CLONITRALID,1420-04-8
CLOPROP (+ SALTS) (FRUITONE),53404-22-1
CLOPYRALID (LONTREL),1702-17-6
CLORANSULAM-METHL (XDE-565),147150-35-4
COAL TARS,8007-45-2
COBALT NAPHTHENATE,61789-51-3
(COCO ALKYL)DIETHANOLAMIDES,68603-42-9
"COCOA FATTY ACIDS, POTASSIUM SALTS",61789-30-8
"COCONUT FATTY ACID, SODIUM SALT",61789-31-9
COMPOUND 105,137-16-6
COPPER,7440-50-8
COPPER (11)-8-HYDROXYQUINOLINE,10380-28-6
COPPER (I) CHLORIDE,7758-89-6
COPPER ARSENATE,10103-61-4
COPPER CARBONATE (BASIC),12069-69-1
COPPER CHLORIDE HYDROXIDE (CU2CL(OH)3),1332-65-6
"COPPER CHLORIDE HYDROXIDE (CU2CL(OH)3), MIXT. WITH COPPER HYDROXIDE SULFATE (CU4(OH)6(SO4))",8012-69-9
"COPPER CHLORIDE OXIDE, HYDRATE",1332-40-7
COPPER NAPHTHENATE,1338-02-9
COPPER OXIDE,1317-38-0
COPPER ZINC HYDROXIDE SULFATE,55072-57-6
"COPPER(2 ), TETRAAMINE-",16828-95-8
"COPPER, BIS(2-AMINOETHANOLATO-N,O)-",14215-52-2
"COPPER, BIS(D-GLUCONATO-O1,O2)-",527-09-3
"COPPER, [[2,2',2''-NITRILOTRIS[ETHANOLATO]](2-)-N,O,O',O'']-",82027-59-6
COTTON OIL,8001-29-4
COUMAFURYL (FUMARIN),117-52-2
COUMAPHOS,56-72-4
CREOSOTES,8001-58-9
CRESOL (MIXED ISOMERS),1319-77-3
CROTOXYPHOS,7700-17-6
CRUDE LIGHT OIL (COAL),65996-78-3
CRUFOMATE,299-86-5
CRYOLITE,15096-52-3
CUPRIC (II) OXALATE,814-91-5
CUPRIC ACETOARSENITE,12002-03-8
CUPRIC HYDROXIDE,20427-59-2
CUPRIC NITRATE,3251-23-8
CUPRIC SULFATE,7758-98-7
CUPRIETHYLENE-DIAMINE SOLUTION,13426-91-0
CUPROUS OXIDE,1317-39-1
CUPROUS THIOCYANATE,1111-67-7
CYANAMIDE,420-04-2
CYANAZINE,21725-46-2
CYANURIC ACID,108-80-5
CYCLANILIDE,113136-77-9
CYCLOATE,1134-23-2
"CYCLOBUTANEETHANOL, 1-METHYL-2-(1-METHYLETHENYL)-, (1R-CIS)-",26532-22-9
CYCLOHEXANE,110-82-7
"CYCLOHEXANOL, 5-METHYL-2-(1-METHYLETHYL)-",1490-04-6
CYCLOHEXANONE,108-94-1
CYCLOHEXIMIDE,66-81-9
"CYCLOPROPANECARBOXYLIC ACID, 2,2-DIMETHYL-3-(2-METHYL-1-PROPENYL)-, 2-METHYL-4-OXO-3-(2-PROPENYL)-2-CYCLOPENTEN-1-YL ESTER, [1.ALPHA.(S*),3.",42534-61-2
"CYCLOPROPANECARBOXYLIC ACID, 2,2-DIMETHYL-3-(2-METHYL-1-PROPENYL)-, 2-METHYL-4-OXO-3-(2-PROPENYL)-2-CYCLOPENTEN-1-YL ESTER, [1R-[1.ALPHA.(S*",28434-00-6
"CYCLOPROPANECARBOXYLIC ACID, 2,2-DIMETHYL-3-(2-METHYL-1-PROPENYL)-, CYANO(3-PHENOXYPHENYL)METHYL ESTER",39515-40-7
CYFLUTHRIN,68359-37-5
CYHALOFOP BUTYL,122008-85-9
CYHALOTHRIN K,91465-08-6
CYMOXANIL,57966-95-7
CYPERMETHRIN,52315-07-8
CYPRAZINE,22936-86-3
CYPROCONAZOLE (SAN 619F),94361-06-5
CYPRODINIL,121552-61-2
CYROMAZINE,66215-27-8
"2,4-D",94-75-7
"2,4-D 2-ETHYL-4-METHYLPENTYL ESTER",53404-37-8
"2,4-D 2-ETHYLHEXYL ESTER",1928-43-4
"2,4-D BUTOXYETHYL ESTER",1929-73-3
"2,4-D BUTYL ESTER",94-80-4
"2,4-D PROPYLENE GLYCOL BUTYL ETHER ESTER",1320-18-9
"2,4-D SODIUM SALT",2702-72-9
"2,4-D, ISOOCTYL ESTER",25168-26-7
"2,4-D, ISOPROPYL ESTER",94-11-1
"D-STREPTAMINE, O-2-DEOXY-2-(METHYLAMINO)- .ALPHA. -L-GLUCOPYRANOSYL-(1.FWDARW.2)-O-5-DEOXY-3-C-FORMYL-.ALPHA.-L-LYXOFURANOSYL-(1.FWDARW.4)-N",298-39-5
D-TRANS-ALLETHRIN,28057-48-9
DAMINOZIDE,1596-84-5
DASANIT,115-90-2
DAZOMET,533-74-4
"2,4-DB",94-82-6
DDT,50-29-3
"1-DECANAMINIUM, N,N-DIMETHYL-N-OCTYL-, CHLORIDE",32426-11-2
"1-DECANAMINIUM, N-DECYL-N-METHYL-N-[3-(TRIMETHOXYSILYL)PROPYL]-, CHLORIDE",68959-20-6
"1-DECANAMINIUM, N-ISONONYL-N,N-DIMETHYL-, CHLORIDE",138698-36-9
"DECANEDIOIC ACID, CADMIUM SALT (1:1)",940961
1-DECANOL,112-30-1
"5-DECEN-1-OL, (E)-",56578-18-8
"5-DECEN-1-OL, ACETATE, (E)-",38421-90-8
DEET,134-62-3
DEHYDROABIETYLAMINE ACETATE,2026-24-6
DEHYDROABIETYLAMINE ETHYLENE OXIDE,51344-62-8
DELTAMETHRIN (DECA-),52918-63-5
DEMETON,8065-48-3
DENATONIUM BENZOATE,3734-33-6
DEODORIZER DISTILLATE,68476-80-2
DESMEDIPHAM,13684-56-5
DEXTRIN,9004-53-9
"2,6-DI-TERT-BUTYL-P-CRESOL",128-37-0
DIACETONE ALCOHOL,123-42-2
DIALLATE,2303-16-4
DIAMMONIUM EDTA,20824-56-0
DIAZINON,333-41-5
DIBENZOTHIAZINE,92-84-2
"1,2-DIBROMO-3-CHLOROPROPANE (DBCP)",96-12-8
"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",10222-01-2
"1,2-DIBROMOETHANE",106-93-4
"3,5-DIBROMOSALICYLANILIDE",2577-72-2
