LAKE,LAT,LON,Feb-08,Feb-08,Mar-08,Mar-08,Mar-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,May-08,Jun-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Sep-08,Oct-08,Oct-08,Oct-08,Oct-08,Oct-08,Nov-08,Nov-08,Nov-08,Nov-08,Nov-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Jan-09,Jan-09,Jan-09,Jan-09,Jan-09,Feb-09,Feb-09,Feb-09,Feb-09,Feb-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,May-09,May-09,May-09,May-09,Jun-09,Jun-09,Jun-09,Jul-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Sep-09,Sep-09,Sep-09,Sep-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Dec-09,Dec-09,Jan-10,Jan-10,Jan-10,Jan-10,Feb-10,Feb-10,Feb-10,Feb-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,May-10,May-10,May-10,May-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jul-10,Jul-10,Jul-10,Aug-10,Aug-10,Aug-10,Aug-10,Sep-10,Sep-10,Sep-10,Sep-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Nov-10,Dec-10,Dec-10,Dec-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Feb-11,Mar-11,Mar-11,Mar-11,Mar-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,May-11,May-11,May-11,May-11,May-11,May-11,Jun-11,Jun-11,Jun-11,Jun-11,Jul-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Sep-11,Sep-11,Sep-11,Oct-11,Oct-11,Oct-11,Oct-11,Nov-11,Nov-11,Nov-11,Nov-11,Dec-11
Allagash Lake,46.32,-69.53,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524,2130,2455,2086,3340,3340,4486,5644,46.32,69.53,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524,2130,2455,2086,3340,3340,4486,5644,46.32,69.53,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524,2130,2455,2086,3340,3340,4486,5644,46.32,69.53,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524
Allegheny Reservoir,41.94,-78.93,14609,9912,6186,5060,5578,4208,3973,4600,3727,12379,9855,10660,19085,19310,11807,7290,6819,4462,4690,3783,4824,10687,9181,9399,13482,10334,12262,10130,6288,5103,5614,4192,5790,8756,9152,12341,9555,9715,10927,10756,5950,4915,5880,4646,6290,7572,8116,12852,41.94,78.93,14609,9912,6186,5060,5578,4208,3973,4600,3727,12379,9855,10660,19085,19310,11807,7290,6819,4462,4690,3783,4824,10687,9181,9399,13482,10334,12262,10130,6288,5103,5614,4192,5790,8756,9152,12341,9555,9715,10927,10756,5950,4915,5880,4646,6290,7572,8116,12852,41.94,78.93,14609,9912,6186,5060,5578,4208,3973,4600,3727,12379,9855,10660,19085,19310,11807,7290,6819,4462,4690,3783,4824,10687,9181,9399,13482,10334,12262,10130,6288,5103,5614,4192,5790,8756,9152,12341,9555,9715,10927,10756,5950,4915,5880,4646,6290,7572,8116,12852,41.94,78.93,14609,9912,6186,5060,5578,4208,3973,4600,3727,12379,9855,10660,19085,19310,11807,7290,6819,4462,4690,3783,4824,10687,9181,9399,13482,10334,12262,10130,6288,5103,5614,4192,5790,8756,9152,12341,9555,9715,10927,10756,5950
Alligator Lake,28.21,-81.21,6568,2504,1793,1625,1413,841,796,978,897,2684,2820,4545,9445,5623,2607,2376,1811,961,1021,694,1274,3861,3416,3589,5461,4603,4491,3942,1626,1190,1409,1006,1455,2783,3242,5114,3676,4367,3534,3638,1644,1025,1099,968,1521,2246,2914,4093,28.21,81.21,6568,2504,1793,1625,1413,841,796,978,897,2684,2820,4545,9445,5623,2607,2376,1811,961,1021,694,1274,3861,3416,3589,5461,4603,4491,3942,1626,1190,1409,1006,1455,2783,3242,5114,3676,4367,3534,3638,1644,1025,1099,968,1521,2246,2914,4093,28.21,81.21,6568,2504,1793,1625,1413,841,796,978,897,2684,2820,4545,9445,5623,2607,2376,1811,961,1021,694,1274,3861,3416,3589,5461,4603,4491,3942,1626,1190,1409,1006,1455,2783,3242,5114,3676,4367,3534,3638,1644,1025,1099,968,1521,2246,2914,4093,28.21,81.21,6568,2504,1793,1625,1413,841,796,978,897,2684,2820,4545,9445,5623,2607,2376,1811,961,1021,694,1274,3861,3416,3589,5461,4603,4491,3942,1626,1190,1409,1006,1455,2783,3242,5114,3676,4367,3534,3638,1644
Amistad Reservoir,29.53,-101,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345,2464,2463,1829,2597,2641,4925,6767,29.53,101,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345,2464,2463,1829,2597,2641,4925,6767,29.53,101,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345,2464,2463,1829,2597,2641,4925,6767,29.53,101,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345
Amistad Reservoir,29.54,-101.1,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,29.54,101.1,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,29.54,101.1,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,29.54,101.1,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172
Anacoco Lake,31.11,-93.37,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407,2731,2940,2222,3266,3745,5789,7403,31.11,93.37,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407,2731,2940,2222,3266,3745,5789,7403,31.11,93.37,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407,2731,2940,2222,3266,3745,5789,7403,31.11,93.37,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407
Angostura Reservoir,43.31,-103.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,7483,10117,18835,17476,13140,12454,7924,6920,7300,5143,4871,6811,11427,17836,16419,32609,18503,11658,7090,6245,6763,5330,8241,9786,11768,14513,43.31,103.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,7483,10117,18835,17476,13140,12454,7924,6920,7300,5143,4871,6811,11427,17836,16419,32609,18503,11658,7090,6245,6763,5330,8241,9786,11768,14513,43.31,103.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,7483,10117,18835,17476,13140,12454,7924,6920,7300,5143,4871,6811,11427,17836,16419,32609,18503,11658,7090,6245,6763,5330,8241,9786,11768,14513,43.31,103.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,7483,10117,18835,17476,13140,12454,7924,6920,7300,5143,4871,6811,11427,17836,16419,32609,18503,11658,7090
Antero Reservoir,38.99,-105.9,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,38.99,105.9,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,38.99,105.9,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,38.99,105.9,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009
"Apopka, Lake",28.62,-81.62,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084,1547,1568,1179,1815,1950,2516,4380,28.62,81.62,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084,1547,1568,1179,1815,1950,2516,4380,28.62,81.62,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084,1547,1568,1179,1815,1950,2516,4380,28.62,81.62,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084
"Arbuckle, Lake",27.69,-81.4,0,0,0,0,0,0,0,0,0,443,2910,3504,4405,8275,6352,4313,3582,2217,2300,1535,1423,2501,3074,3011,4345,5780,5253,4226,2327,1915,1945,1304,1280,2218,2619,4351,6149,10425,6114,4087,2315,1918,2106,1486,1713,1325,2085,4215,27.69,81.4,0,0,0,0,0,0,0,0,0,443,2910,3504,4405,8275,6352,4313,3582,2217,2300,1535,1423,2501,3074,3011,4345,5780,5253,4226,2327,1915,1945,1304,1280,2218,2619,4351,6149,10425,6114,4087,2315,1918,2106,1486,1713,1325,2085,4215,27.69,81.4,0,0,0,0,0,0,0,0,0,443,2910,3504,4405,8275,6352,4313,3582,2217,2300,1535,1423,2501,3074,3011,4345,5780,5253,4226,2327,1915,1945,1304,1280,2218,2619,4351,6149,10425,6114,4087,2315,1918,2106,1486,1713,1325,2085,4215,27.69,81.4,0,0,0,0,0,0,0,0,0,443,2910,3504,4405,8275,6352,4313,3582,2217,2300,1535,1423,2501,3074,3011,4345,5780,5253,4226,2327,1915,1945,1304,1280,2218,2619,4351,6149,10425,6114,4087,2315
