"pccode","casnum","pcname"
107801,55406536,"Carbamic acid, butyl-, 3-iodo-2-propynyl ester                                                                                                                                                                                                               "
107801,55406536,"IPBC                                                                                                                                                                                                                                                         "
107801,55406536,"Troysan KK-108A                                                                                                                                                                                                                                              "
107801,55406536,"Troysan Polyphase Anti-Mildew                                                                                                                                                                                                                                "
107801,55406536,"Carbamic acid, butyl-, 3-iodo-2-propynyl ester                                                                                                                                                                                                               "
107801,55406536,"3-Iodo-2-propynyl butylcarbamate                                                                                                                                                                                                                             "
107801,55406536,"ASC 67000                                                                                                                                                                                                                                                    "
107901,26644462,"Piperazine, 1,4-bis(1-formamido-2,2,2-trichloroethyl)-                                                                                                                                                                                                       "
107901,26644462,"1,4-Bis(2,2,2-trichloro-1-formamidoethyl)piperazine                                                                                                                                                                                                          "
107901,26644462,"CA 73021                                                                                                                                                                                                                                                     "
107901,26644462,"CW 524                                                                                                                                                                                                                                                       "
107901,26644462,"Cela 50                                                                                                                                                                                                                                                      "
107901,26644462,"CME 74770                                                                                                                                                                                                                                                    "
107901,26644462,"1,4-Bis(1-formamido-2,2,2-trichloroethyl)piperazine                                                                                                                                                                                                          "
107901,26644462,"Compound W                                                                                                                                                                                                                                                   "
107901,26644462,"CA 70203                                                                                                                                                                                                                                                     "
107901,26644462,"Triforine                                                                                                                                                                                                                                                    "
107901,26644462,"Funginex                                                                                                                                                                                                                                                     "
107901,26644462,"N,N'-(1,4-Piperazinediylbis(2,2,2-trichloroethylidene))bisformamide                                                                                                                                                                                          "
107901,26644462,"Denarin                                                                                                                                                                                                                                                      "
107901,26644462,"Saprol                                                                                                                                                                                                                                                       "
107901,26644462,"N,N-(1,4-Piperazinediylbis(.alpha.,.alpha.,.alpha.-trichloroethylidene))bis(formamide)                                                                                                                                                                       "
107901,26644462,"Biformylchlorazin                                                                                                                                                                                                                                            "
107901,26644462,"N,N'-Bis(1-formamido-2,2,2-trichloroethyl)piperazine                                                                                                                                                                                                         "
107901,26644462,"Formamide, N,N'-(1,4-piperazinediylbis(2,2,2-trichloroethylidene))bis-                                                                                                                                                                                       "
107901,26644462,"Cela W-524                                                                                                                                                                                                                                                   "
107901,26644462,"Piperazin-1,4-diyl-bis(1-(2,2,2-trichloroethyl)formamide)                                                                                                                                                                                                    "
107901,26644462,"N,N'-(1,4-Piperazinediylbis(2,2,2-trichloroethylidine)bis(formamide)                                                                                                                                                                                         "
108001,37924133,"MBR 8251                                                                                                                                                                                                                                                     "
108001,37924133,"Perfluidone                                                                                                                                                                                                                                                  "
108001,37924133,"1,1,1-Trifluoro-N-(2-methyl-4-(phenylsulfonyl)phenyl)methanesulfonamide                                                                                                                                                                                      "
108001,37924133,"2-Methyl-4-(phenylsulfonyl)trifluoromethanesulfonanalide                                                                                                                                                                                                     "
108001,37924133,"Perfluidone                                                                                                                                                                                                                                                  "
108001,37924133,"Destun                                                                                                                                                                                                                                                       "
108101,23505411,"O,O-Diethyl O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) phosphorothioate                                                                                                                                                                                     "
108101,23505411,"O-(2-(Diethylamino)-6-methyl-4-pyrimidinyl) O,O-diethyl phosphorothioate                                                                                                                                                                                     "
108101,23505411,"Phosphorothioic acid, O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) O,O-diethyl ester                                                                                                                                                                          "
108101,23505411,"4-Pyrimidinol, 2-(diethylamino)-6-methyl-, O-ester with O,O-diethyl phosphorothioate                                                                                                                                                                         "
108101,23505411,"PP 211                                                                                                                                                                                                                                                       "
108101,23505411,"Fernex                                                                                                                                                                                                                                                       "
108101,23505411,"Primicid                                                                                                                                                                                                                                                     "
108101,23505411,"Pirimiphos-ethyl                                                                                                                                                                                                                                             "
108101,23505411,"Phosphorothioic acid, O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) O,O-diethyl ester                                                                                                                                                                          "
108101,23505411,"Phosphorothioic acid, O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) O,O-diethyl ester                                                                                                                                                                          "
108101,23505411,"Pirimifosethyl                                                                                                                                                                                                                                               "
108101,23505411,"Primotec                                                                                                                                                                                                                                                     "
108101,23505411,"Pirimiphos-ethyl                                                                                                                                                                                                                                             "
108102,29232937,"Actellic                                                                                                                                                                                                                                                     "
108102,29232937,"Pirimiphos-methyl                                                                                                                                                                                                                                            "
108102,29232937,"Pirimifosmethyl                                                                                                                                                                                                                                              "
108102,29232937,"Blex                                                                                                                                                                                                                                                         "
108102,29232937,"Phosphorothioic acid, O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) O,O-dimethyl ester                                                                                                                                                                         "
108102,29232937,"Silosan                                                                                                                                                                                                                                                      "
108102,29232937,"R-33986                                                                                                                                                                                                                                                      "
108102,29232937,"Actellifog                                                                                                                                                                                                                                                   "
108102,29232937,"Pirimiphos-methyl                                                                                                                                                                                                                                            "
108102,29232937,"O,O-Dimethyl O-(2-(diethylamino)-6-methyl-4-pyrimidinyl)phosphorothioate                                                                                                                                                                                     "
108102,29232937,"4-Pyrimidinol, 2-(diethylamino)-6-methyl-, O-ester with O,O-dimethyl phosphorothioate                                                                                                                                                                        "
108102,29232937,"ENT 27699Gc                                                                                                                                                                                                                                                  "
108102,29232937,"Methylpyrimiphos                                                                                                                                                                                                                                             "
108102,29232937,"O-(2-(Diethylamino)-6-methyl-4-pyrimidinyl) O,O-dimethyl phosphorothioate                                                                                                                                                                                    "
108102,29232937,"PP 511                                                                                                                                                                                                                                                       "
108102,29232937,"4-Pyrimidinol, 2-(diethylamino)-6-methyl-, O-ester with O,O-dimethyl phosphorothioate                                                                                                                                                                        "
108102,29232937,"PP 511                                                                                                                                                                                                                                                       "
108103,36378617,"Phosphoric acid, 2-(diethylamino)-6-methyl-4-pyrimidinyl diethyl ester                                                                                                                                                                                       "
108103,36378617,"2-(Diethylamino)-6-methyl-4-pyrimidinyl diethyl phosphate                                                                                                                                                                                                    "
108103,36378617,"Phosphoric acid, 2-(diethylamino)-6-methyl-4-pyrimidinyl diethyl ester                                                                                                                                                                                       "
108103,36378617,"Fernex, O-analog                                                                                                                                                                                                                                             "
108201,35367385,"N-(((4-Chlorophenyl)amino)carbonyl)-2,6-difluorobenzamide                                                                                                                                                                                                    "
108201,35367385,"Dimilin                                                                                                                                                                                                                                                      "
108201,35367385,"Micromite                                                                                                                                                                                                                                                    "
108201,35367385,"PH 60-40                                                                                                                                                                                                                                                     "
108201,35367385,"TH 6040                                                                                                                                                                                                                                                      "
108201,35367385,"PDD 6040-I                                                                                                                                                                                                                                                   "
108201,35367385,"DU 112307                                                                                                                                                                                                                                                    "
108201,35367385,"Difluron                                                                                                                                                                                                                                                     "
108201,35367385,"Largon                                                                                                                                                                                                                                                       "
108201,35367385,"OMS 1804                                                                                                                                                                                                                                                     "
108201,35367385,"ENT 29054                                                                                                                                                                                                                                                    "
108201,35367385,"Benzamide, N-(((4-chlorophenyl)amino)carbonyl)-2,6-difluoro-                                                                                                                                                                                                 "
108201,35367385,"Diflubenzuron                                                                                                                                                                                                                                                "
108201,35367385,"1-(4-Chlorophenyl)-3-(2,6-difluorobenzoyl)urea                                                                                                                                                                                                               "
108201,35367385,"Urea, 1-(p-chlorophenyl)-3-(2,6-difluorobenzoyl)-                                                                                                                                                                                                            "
108202,71422678,"IKI 7899                                                                                                                                                                                                                                                     "
108202,71422678,"CGA 112913                                                                                                                                                                                                                                                   "
108202,71422678,"Benzamide, N-{{{3,5-dichloro-4-{{3-chloro-5-(trifluoromethyl)-2-pyridinyl}oxy}phenyl}amino}carbonyl}-2,6-difluoro-                                                                                                                                           "
108202,71422678,"N-{4-(3-Chloro-5-trifluoromethyl-2-pyridinyl-oxy)-3,5-dichloro-phenyl-aminocarbonyl}-2,6-difluorobenzamide                                                                                                                                                   "
108203,101463698,"Benzamide, N-{{{4-{2-chloro-4-(trifluoromethyl)phenoxy}-2-fluorophenyl} amino}carbonyl}-2,6-difluoro-                                                                                                                                                        "
108203,101463698,"Cascade                                                                                                                                                                                                                                                      "
108203,101463698,"Flufenoxuron                                                                                                                                                                                                                                                 "
108203,101463698,"1-{4-(2-Chloro-alpha.alpha.alpha-trifluoro-p-tolyloxy)-2-fluorophenyl}-3-(2,6-difluorobenzoyl) urea                                                                                                                                                          "
108203,101463698,"1-{4-(2-Chloro-alpha.alpha.alpha-trifluoro-p-tolyloxy)-2-fluorophenyl}-3-(2,6-difluorobenzoyl) urea                                                                                                                                                          "
108209,213464778,"Orthosulfamuron                                                                                                                                                                                                                                              "
108209,213464778,"BENZAMIDE,2-[[[[[(4,6-DIMETHOXY-2-PYRIMIDINYL)AMINO]CARBONYL]AMINO]SULFONYL]AMINO -N,N-DIMETHYL-0                                                                                                                                                            "
108301,7681654,"Cuprous iodide                                                                                                                                                                                                                                               "
108301,7681654,"Hydro-Giene                                                                                                                                                                                                                                                  "
108303,7758896,"Cuprous chloride (CuCl)                                                                                                                                                                                                                                      "
108303,7758896,"Copper(1+) chloride                                                                                                                                                                                                                                          "
108303,7758896,"Cuprous chloride (Cu2Cl2)                                                                                                                                                                                                                                    "
108303,7758896,"Dicopper dichloride                                                                                                                                                                                                                                          "
108303,7758896,"Copper chloride (CuCl)                                                                                                                                                                                                                                       "
108401,28249776,"IMC 3950                                                                                                                                                                                                                                                     "
108401,28249776,"Carbamothioic acid, diethyl-, S-((4-chlorophenyl)methyl) ester                                                                                                                                                                                               "
108401,28249776,"p-Chlorobenzyl diethylthiolcarbamate                                                                                                                                                                                                                         "
108401,28249776,".alpha.-Toluenethiol, p-chloro-, diethylcarbamate                                                                                                                                                                                                            "
108401,28249776,"Bencarb                                                                                                                                                                                                                                                      "
108401,28249776,"S-4-Chlorobenzyl N,N-diethylthiocarbamate                                                                                                                                                                                                                    "
108401,28249776,"S-((4-Chlorophenyl)methyl) N,N-diethylthiocarbamate                                                                                                                                                                                                          "
108401,28249776,"S-(4-Chlorobenzyl) N,N-diethylthiolcarbamate                                                                                                                                                                                                                 "
108401,28249776,"p-Chlorobenzyl N,N-diethylthiolcarbamate                                                                                                                                                                                                                     "
108401,28249776,"B 3015                                                                                                                                                                                                                                                       "
108401,28249776,"Thiobencarb                                                                                                                                                                                                                                                  "
108401,28249776,"Saturn                                                                                                                                                                                                                                                       "
108401,28249776,"Carbamic acid, diethylthio-, S-(p-chlorobenzyl) ester                                                                                                                                                                                                        "
108401,28249776,"Benthiocarb                                                                                                                                                                                                                                                  "
108401,28249776,"Bolero                                                                                                                                                                                                                                                       "
108401,28249776,"S-(4-Chlorobenzyl) diethylthiolcarbamate                                                                                                                                                                                                                     "
108401,28249776,"Carbamothioic acid, diethyl-, S-((4-chlorophenyl)methyl) ester                                                                                                                                                                                               "
108401,28249776,"S-(p-Chlorobenzyl) diethylthiocarbamate                                                                                                                                                                                                                      "
108401,28249776,"S-(4-Chlorobenzyl) diethylthiocarbamate                                                                                                                                                                                                                      "
108401,28249776,"S-((4-Chlorophenyl)methyl) diethylcarbamothioate                                                                                                                                                                                                             "
108401,28249776,"S-(4-Chlorobenzyl) N,N-diethylthiocarbamate                                                                                                                                                                                                                  "
108401,28249776,".alpha.-Toluenethiol, p-chloro-, diethylcarbamate                                                                                                                                                                                                            "
108501,40487421,"Wax-Up                                                                                                                                                                                                                                                       "
108501,40487421,"Go-Go-San                                                                                                                                                                                                                                                    "
108501,40487421,"Pendimethalin                                                                                                                                                                                                                                                "
108501,40487421,"Penoxalin                                                                                                                                                                                                                                                    "
108501,40487421,"Benzenamine, 3,4-dimethyl-2,6-dinitro-N-(1-ethylpropyl)-                                                                                                                                                                                                     "
108501,40487421,"Pendimethalin                                                                                                                                                                                                                                                "
108501,40487421,"Squadron, component of    (with 128848)                                                                                                                                                                                                                      "
108501,40487421,"N-(1-Ethylpropyl)-3,4-dimethyl-2,6-dinitrobenzenamine                                                                                                                                                                                                        "
108501,40487421,"Accotab                                                                                                                                                                                                                                                      "
108501,40487421,"Benzenamine, N-(1-ethylpropyl)-3,4-dimethyl-2,6-dinitro-                                                                                                                                                                                                     "
108501,40487421,"N-(1-Ethylpropyl)-3,4-dimethyl-2,6-dinitroanaline                                                                                                                                                                                                            "
108501,40487421,"3,4-Xylidine, 2,6-dinitro-N-(1-ethylpropyl)-                                                                                                                                                                                                                 "
108501,40487421,"Prowl                                                                                                                                                                                                                                                        "
108501,40487421,"Herbadox                                                                                                                                                                                                                                                     "
