"regnum","pccode","pcpct","prodname"
166300018,57001,4000,"GRANT'S FLY MOSQUITO AND HOUSEHOLD INSECT SPRAY                       "
166300018,63503,80500,"GRANT'S FLY MOSQUITO AND HOUSEHOLD INSECT SPRAY                       "
166300018,67501,8000,"GRANT'S FLY MOSQUITO AND HOUSEHOLD INSECT SPRAY                       "
166300019,4003,2500,"GRANT'S HOME AND GARDEN INSECT SPRAY                                  "
166300019,57001,4000,"GRANT'S HOME AND GARDEN INSECT SPRAY                                  "
166300019,63503,80500,"GRANT'S HOME AND GARDEN INSECT SPRAY                                  "
166300019,67501,8000,"GRANT'S HOME AND GARDEN INSECT SPRAY                                  "
166300020,43302,26700,"GRANT'S INSECT REPELLENT SPRAY                                        "
166300020,57001,13300,"GRANT'S INSECT REPELLENT SPRAY                                        "
166300020,80301,80000,"GRANT'S INSECT REPELLENT SPRAY                                        "
166300021,27701,1250,"GRANT'S ANT TRAP                                                      "
166300022,27701,1250,"GRANT'S ROACH TRAP                                                    "
166300023,58202,50000,"GRANT'S ANT POWDER                                                    "
166300025,63503,2240,"GRANT'S INDOOR PLANT INSECT SPRAY                                     "
166300025,69001,560,"GRANT'S INDOOR PLANT INSECT SPRAY                                     "
166300025,71003,240,"GRANT'S INDOOR PLANT INSECT SPRAY                                     "
166300025,71004,480,"GRANT'S INDOOR PLANT INSECT SPRAY                                     "
166300026,47802,17000,"GRANT'S ANT CONTROL-JEL WITH BAYGON                                   "
166300027,47802,17000,"GRANT'S ANT TRAP                                                      "
166300029,47802,2590,"GRANT'S ANT CONTROL                                                   "
166300030,44102,19000,"GRANT'S DOG & CAT REPELLENT GRANULAR                                  "
166300031,7001,979000,"ARSENIC TRIOXIDE TECHNICAL                                            "
166300032,47802,2500,"GRANT'S KILLS ANTS ANT CONTROL WITH BAYGON                            "
166300033,118401,10000,"GRANT'S KILLS ANTS GRANTS ANT CONTROL A                               "
166300034,67501,5000,"GRANT'S KILLS ANTS ANT & SPIDER KILLER                                "
166300034,69003,1000,"GRANT'S KILLS ANTS ANT & SPIDER KILLER                                "
166300034,109701,2500,"GRANT'S KILLS ANTS ANT & SPIDER KILLER                                "
166300035,67501,7500,"GRANT'S FLYING & CRAWLING INSECT KILLER                               "
166300035,69003,1500,"GRANT'S FLYING & CRAWLING INSECT KILLER                               "
166300035,109701,1500,"GRANT'S FLYING & CRAWLING INSECT KILLER                               "
166300036,118401,10000,"GRANT'S KILLS ANTS LIQUID ANT BAIT                                    "
166300037,11102,54000,"GRANT'S KILLS ANTS ANT KILLER                                         "
167200010,14703,52500,"THOROFARE BLEACH                                                      "
167200014,67002,25000,"AUSTIN'S PINE OIL CLEANER                                             "
167200014,69105,7600,"AUSTIN'S PINE OIL CLEANER                                             "
167200014,69149,2850,"AUSTIN'S PINE OIL CLEANER                                             "
167200014,69165,5700,"AUSTIN'S PINE OIL CLEANER                                             "
167200014,69166,2850,"AUSTIN'S PINE OIL CLEANER                                             "
167200065,14703,60000,"AUSTIN A-1 ULTRA DISINFECTING BLEACH                                  "
167200066,14703,52500,"ELITE PROFESSIONAL BLEACH                                             "
167200067,14703,82500,"AUSTIN'S A-1 CONCENTRATED BLEACH 8.25%                                "
167220001,14703,125000,"AUSTIN'S SODIUM HYPOCHLORITE                                          "
167220004,14703,52500,"AUSTIN'S A-1 BLEACH, SODIUM HYPOCHLORITE 5.25%                        "
167400008,39107,5000,"STETCO PINE ODOR DISINFECTANT                                         "
167400008,47501,110000,"STETCO PINE ODOR DISINFECTANT                                         "
167400008,62201,30000,"STETCO PINE ODOR DISINFECTANT                                         "
167400008,64103,10000,"STETCO PINE ODOR DISINFECTANT                                         "
167400008,67002,2e+05,"STETCO PINE ODOR DISINFECTANT                                         "
167400008,79009,40000,"STETCO PINE ODOR DISINFECTANT                                         "
167400009,69104,2000,"STETCO BACTERIOSTATIC NONOYL (WITH SILICONE) EMULSION DUST MOP TREATME"
167400009,69111,2000,"STETCO BACTERIOSTATIC NONOYL (WITH SILICONE) EMULSION DUST MOP TREATME"
167400014,69141,2e+05,"CLOUT DISINFECTANT                                                    "
167400015,69141,50000,"STETSON MINT ODOR DISINFECTANT-CLEANER                                "
167400016,69104,8000,"STETCO MAINTAINER - D.I.S.                                            "
167400016,69154,8000,"STETCO MAINTAINER - D.I.S.                                            "
167700012,46901,97500,"MIKRO-KLENE GW                                                        "
167700012,76001,150000,"MIKRO-KLENE GW                                                        "
167700019,14703,40000,"MIKRO-CHLOR                                                           "
167700021,69105,95000,"MIKRO-QUAT                                                            "
167700022,46901,20000,"MIKROKLENE                                                            "
167700022,76001,65500,"MIKROKLENE                                                            "
167700029,64217,459000,"MAGNUS MAGNICIDE 12                                                   "
167700032,14503,220000,"MAGNACIDE 16                                                          "
167700034,45901,230000,"SOILAX BOWL CLEANSE                                                   "
167700034,62208,1800,"SOILAX BOWL CLEANSE                                                   "
167700034,62210,1800,"SOILAX BOWL CLEANSE                                                   "
167700037,54901,1400,"LAUNDRI SOFT                                                          "
167700038,9601,10000,"SOILAX BATHROOM CLEANER                                               "
167700038,69110,30000,"SOILAX BATHROOM CLEANER                                               "
167700038,76001,60000,"SOILAX BATHROOM CLEANER                                               "
167700039,62202,53000,"MIKRO-BAC                                                             "
167700039,64108,49000,"MIKRO-BAC                                                             "
167700039,64111,9000,"MIKRO-BAC                                                             "
167700040,47501,50000,"SOILAX SANITIZING CARPET SHAMPOO                                      "
167700040,64101,3800,"SOILAX SANITIZING CARPET SHAMPOO                                      "
167700040,64103,15000,"SOILAX SANITIZING CARPET SHAMPOO                                      "
167700040,64202,11200,"SOILAX SANITIZING CARPET SHAMPOO                                      "
167700040,79011,60000,"SOILAX SANITIZING CARPET SHAMPOO                                      "
167700041,69110,6e+05,"Q-077 QUATERNARY AMMONIUM CONCENTRATE                                 "
167700042,69105,5e+05,"Q-372 QUARTENARY AMMONIUM CONC.                                       "
167700043,69105,1e+05,"STER-BAC                                                              "
167700044,81407,999999,"SOILAX POOL SANITIZER                                                 "
167700046,69104,50000,"KLEXZADE Q BAC FORMULA KDS-66                                         "
167700046,69154,50000,"KLEXZADE Q BAC FORMULA KDS-66                                         "
167700046,76001,3e+05,"KLEXZADE Q BAC FORMULA KDS-66                                         "
167700048,6601,6620,"SOILAX INSECTICIDE                                                    "
167700048,63503,187500,"SOILAX INSECTICIDE                                                    "
167700048,97801,5680,"SOILAX INSECTICIDE                                                    "
167700049,57001,8340,"FLECHA                                                                "
167700049,63503,984160,"FLECHA                                                                "
167700049,67501,5000,"FLECHA                                                                "
167700049,69001,2500,"FLECHA                                                                "
167700050,6601,2850,"ACECHO                                                                "
167700050,57001,1660,"ACECHO                                                                "
167700050,59101,5000,"ACECHO                                                                "
167700050,63503,988660,"ACECHO                                                                "
167700050,67501,1000,"ACECHO                                                                "
167700050,69001,500,"ACECHO                                                                "
167700051,14703,64000,"X-4                                                                   "
167700052,14703,84000,"XY-12 LIQUID SANITIZER                                                "
167700053,81407,202500,"TRICHLOR-O-CIDE FORMULA XP-100                                        "
167700054,14703,32500,"KLENZ-KLOR FORMULA X-3                                                "
167700054,76406,917500,"KLENZ-KLOR FORMULA X-3                                                "
167700055,69104,50000,"TYKOR THERMO-SAN LIQUID                                               "
167700055,69154,50000,"TYKOR THERMO-SAN LIQUID                                               "
167700055,76001,3e+05,"TYKOR THERMO-SAN LIQUID                                               "
167700056,76001,220000,"BAR STAR BAR GLASS SANITIZER                                          "
167700056,98002,29300,"BAR STAR BAR GLASS SANITIZER                                          "
167700057,101,180000,"UDDER WASH FORMULA KDS-33                                             "
167700057,69110,50000,"UDDER WASH FORMULA KDS-33                                             "
167700058,46901,20000,"MIKROKLENE DF                                                         "
167700058,76001,65500,"MIKROKLENE DF                                                         "
167700059,101,140000,"IODOPHOR DETERGENT - SANITIZER                                        "
167700059,46903,147500,"IODOPHOR DETERGENT - SANITIZER                                        "
167700059,76001,67500,"IODOPHOR DETERGENT - SANITIZER                                        "
167700060,101,140000,"IODOPHOR UDDER WASH                                                   "
167700060,46903,147500,"IODOPHOR UDDER WASH                                                   "
167700060,76001,67500,"IODOPHOR UDDER WASH                                                   "
167700061,21801,38000,"BEVROKLENE FORMULA ID-79                                              "
167700061,46901,155000,"BEVROKLENE FORMULA ID-79                                              "
167700062,47501,260000,"KURB HC-65                                                            "
167700062,67313,155000,"KURB HC-65                                                            "
167700063,46905,17500,"BEVRO KLENE                                                           "
167700066,69105,90000,"KANCEL                                                                "
167700068,14703,32500,"TYKOR KLOR-EZE                                                        "
167700068,76406,917500,"TYKOR KLOR-EZE                                                        "
167700069,46903,117300,"KORA GARD                                                             "
167700069,46904,111700,"KORA GARD                                                             "
167700069,76001,120000,"KORA GARD                                                             "
167700070,81403,465000,"TYKOR QUIK-KLOR SANITIZER                                             "
167700071,14703,1e+05,"KLOR-10 CONCENTRATED LIQUID BACTERICIDE AND DISINFECTANT              "
167700072,46901,125400,"TYKOR DYNOGEN-AN IODOPOR                                              "
167700074,69104,250000,"TYKOR ZYLIUM 50% CONC. GERM SANI (CONT. BTC 2125M)                    "
167700074,69154,250000,"TYKOR ZYLIUM 50% CONC. GERM SANI (CONT. BTC 2125M)                    "
167700075,101,140000,"DIOPHOR NON FOAMING ID-80 IODINE ACID DETERGENT SANI.                 "
167700075,46922,147500,"DIOPHOR NON FOAMING ID-80 IODINE ACID DETERGENT SANI.                 "
167700075,76001,67500,"DIOPHOR NON FOAMING ID-80 IODINE ACID DETERGENT SANI.                 "
167700076,14703,84000,"SOILAX LIQUID POOL SANITIZER                                          "
167700079,39110,2000,"MIKRO QUAT 50                                                         "
167700079,69105,45000,"MIKRO QUAT 50                                                         "
167700084,69183,2e+05,"MX-700                                                                "
167700085,6601,6640,"SOILAX PROFESSIONAL INSECTICIDE                                       "
167700085,97801,5680,"SOILAX PROFESSIONAL INSECTICIDE                                       "
167700087,101801,50000,"MAGNICIDE 24                                                          "
167700088,69149,5e+05,"ELGICIDE 8                                                            "
167700089,46905,36800,"BAC-FLUSH                                                             "
167700089,76001,237000,"BAC-FLUSH                                                             "
167700090,21801,2e+05,"MANDATE                                                               "
167700090,76001,238000,"MANDATE                                                               "
167700090,128919,60000,"MANDATE                                                               "
167700090,128955,20000,"MANDATE                                                               "
167700091,81407,273000,"TRICHLOR-O-CIDE XP 160                                                "
167700093,101,33700,"L-A-W                                                                 "
167700093,76001,210400,"L-A-W                                                                 "
167700094,101,39000,"L-A-W NP                                                              "
167700094,21801,47000,"L-A-W NP                                                              "
167700094,78101,94000,"L-A-W NP                                                              "
167700095,76001,262500,"MANDATE II                                                            "
167700096,69105,86800,"Q-QUAT II                                                             "
167700096,69149,32550,"Q-QUAT II                                                             "
167700096,69165,65100,"Q-QUAT II                                                             "
167700096,69166,32550,"Q-QUAT II                                                             "
167700097,101,70000,"F-B-C NP                                                              "
167700097,78101,33000,"F-B-C NP                                                              "
167700098,101,32000,"F-B-C                                                                 "
167700098,76001,82000,"F-B-C                                                                 "
167700099,69105,42000,"MAXI - QUAT 400                                                       "
167700099,69149,15400,"MAXI - QUAT 400                                                       "
167700099,69165,30800,"MAXI - QUAT 400                                                       "
167700099,69166,15400,"MAXI - QUAT 400                                                       "
167700100,21801,49000,"OASIS 299                                                             "
167700100,76001,174000,"OASIS 299                                                             "
167700101,101,35000,"FORMULA 6654-2                                                        "
167700103,39107,30000,"SANI-ORTHO-PHENE                                                      "
167700103,47501,1e+05,"SANI-ORTHO-PHENE                                                      "
167700103,64101,40000,"SANI-ORTHO-PHENE                                                      "
167700103,64103,80000,"SANI-ORTHO-PHENE                                                      "
167700103,64202,40000,"SANI-ORTHO-PHENE                                                      "
167700104,69104,22500,"SANI-Q CLEANER-DISINFECTANT-DEODORANT FUNGICIDE-VIRUCIDE              "
167700104,69154,22500,"SANI-Q CLEANER-DISINFECTANT-DEODORANT FUNGICIDE-VIRUCIDE              "
167700104,73506,30000,"SANI-Q CLEANER-DISINFECTANT-DEODORANT FUNGICIDE-VIRUCIDE              "
167700105,39107,20000,"SANI-Q EXTRA                                                          "
167700105,69104,45000,"SANI-Q EXTRA                                                          "
167700105,69154,45000,"SANI-Q EXTRA                                                          "
167700105,73506,40000,"SANI-Q EXTRA                                                          "
167700106,69105,250000,"DIASAN TEXTILE SANITIZER                                              "
167700107,77404,6000,"SANI-SUDS BACTERIOSTATIC LAUNDRY SOAP                                 "
167700108,54901,20000,"SUPER SOFT-STAT                                                       "
167700109,69149,5e+05,"NOMOLD                                                                "
167700110,54901,25000,"LEMON SOFT PLUS                                                       "
167700111,57001,3330,"ECOLAB PYRETHRIN SPRAY                                                "
167700111,67501,2000,"ECOLAB PYRETHRIN SPRAY                                                "
167700111,69001,1000,"ECOLAB PYRETHRIN SPRAY                                                "
167700112,57001,10000,"ENTROL                                                                "
167700112,67501,6000,"ENTROL                                                                "
167700112,69001,3000,"ENTROL                                                                "
167700113,45901,230000,"FRAGRANT CONTAX TOILET BOWL CLEANER                                   "
167700114,67703,250,"RAT AND MOUSE KILLER                                                  "
167700115,57001,30000,"PYRITECH                                                              "
167700115,67501,20000,"PYRITECH                                                              "
167700115,69001,10000,"PYRITECH                                                              "
167700116,67501,10000,"LYSTADS INC. W.B. PYRETHRUM SPRAY                                     "
167700116,69001,1000,"LYSTADS INC. W.B. PYRETHRUM SPRAY                                     "
167700117,67501,50000,"LYSTADS 0.5% FOGGING SPRAY                                            "
167700117,69001,5000,"LYSTADS 0.5% FOGGING SPRAY                                            "
167700118,63503,940000,"LYSTADS 1% ULV FOGGING                                                "
167700118,67501,50000,"LYSTADS 1% ULV FOGGING                                                "
167700118,69001,10000,"LYSTADS 1% ULV FOGGING                                                "
167700119,67501,3e+05,"LYSTADS W.B. PYRETHRUM CONCENTRATE                                    "
167700119,69001,30000,"LYSTADS W.B. PYRETHRUM CONCENTRATE                                    "
167700120,57001,39600,"PYRICON                                                               "
167700120,63503,844400,"PYRICON                                                               "
167700120,67501,24000,"PYRICON                                                               "
167700120,69001,12000,"PYRICON                                                               "
167700121,63503,982000,"LYSTADS PYRISPRAY POULTRY HOUSE SPRAY                                 "
167700121,67501,15000,"LYSTADS PYRISPRAY POULTRY HOUSE SPRAY                                 "
167700121,69001,3000,"LYSTADS PYRISPRAY POULTRY HOUSE SPRAY                                 "
167700122,1501,40000,"LIQUID TEX-FLUFF WITH BAC-STAT 200                                    "
167700122,47502,50000,"LIQUID TEX-FLUFF WITH BAC-STAT 200                                    "
167700122,69104,80000,"LIQUID TEX-FLUFF WITH BAC-STAT 200                                    "
167700122,69154,80000,"LIQUID TEX-FLUFF WITH BAC-STAT 200                                    "
167700123,69104,80000,"TEX-FLUFF WITH BAC-STAT 400                                           "
167700123,69154,80000,"TEX-FLUFF WITH BAC-STAT 400                                           "
167700124,69104,1e+05,"ILF FABRIC SOFTENER SANITIZER (POWDER)                                "
167700125,69105,5e+05,"TEX STAT                                                              "
167700126,69104,20800,"TEX-FLUFF WITH BACSTAT 250                                            "
167700126,69154,20800,"TEX-FLUFF WITH BACSTAT 250                                            "
167700127,69104,67000,"ILF SOFTENER SANITIZER CONCENTRATE (LIQUID)                           "
167700127,69154,67000,"ILF SOFTENER SANITIZER CONCENTRATE (LIQUID)                           "
167700128,62201,14000,"SANI-GLIDE                                                            "
167700128,64103,15000,"SANI-GLIDE                                                            "
167700129,595,275000,"OXONIA ACTIVE                                                         "
167700129,63201,58000,"OXONIA ACTIVE                                                         "
167700130,62201,74000,"SOLID SANI-GLIDE                                                      "
167700130,64103,75000,"SOLID SANI-GLIDE                                                      "
167700131,69105,2000,"KX-6034-A                                                             "
167700132,46904,43000,"SOLIDYNE                                                              "
167700132,76001,293000,"SOLIDYNE                                                              "
167700133,69104,202500,"MAXI-QUAT 1000 .                                                      "
167700133,69105,80000,"MAXI-QUAT 1000 .                                                      "
167700133,69149,36000,"MAXI-QUAT 1000 .                                                      "
167700133,69165,60000,"MAXI-QUAT 1000 .                                                      "
167700133,69166,24000,"MAXI-QUAT 1000 .                                                      "
167700134,69104,495000,"ASSUR-RING RED                                                        "
167700135,62201,65000,"KX-5050                                                               "
167700135,64103,66000,"KX-5050                                                               "
167700136,69104,378000,"ASSUR-RING BLUE                                                       "
167700137,14703,60000,"STA-CHLOR                                                             "
167700138,46903,17500,"MIKROCIDE                                                             "
167700138,76001,150000,"MIKROCIDE                                                             "
167700139,14703,32500,"BONCHEM CRYSTAL CHLOR                                                 "
167700140,76001,450000,"BONCHEM BON SAN 353 ANIONIC ACID SANITIZER                            "
167700141,81404,248000,"BON-A-CHLOR 100                                                       "
167700142,69104,50000,"BONCHEM ORGANIC SANITIZER 400                                         "
167700142,69154,50000,"BONCHEM ORGANIC SANITIZER 400                                         "
167700143,595,250000,"P3 - OXONIA ACTIVE                                                    "
167700143,63201,40000,"P3 - OXONIA ACTIVE                                                    "
167700144,14703,52500,"QUORUM GREEN/VERDE                                                    "
167700145,14701,510000,"BK POWDER                                                             "
167700146,69105,30000,"SYNTHOLENE RR                                                         "
167700147,46905,16000,"BK LFI GERMICIDE-SANITIZER                                            "
167700148,69104,50000,"QUORUM CLEAR/CLARO                                                    "
167700148,69154,50000,"QUORUM CLEAR/CLARO                                                    "
167700149,81407,280000,"PENNCLOR SANITIZER GERMICIDAL RINSE                                   "
167700150,76001,490000,"PENNSAN NR                                                            "
167700150,98002,170000,"PENNSAN NR                                                            "
167700151,46903,2e+05,"IODOFOAM CONCENTRATE 20                                               "
167700152,76001,375000,"PENNSAN CIP                                                           "
167700153,46904,247600,"P 3 BONAPHOR CONCENTRATE                                              "
167700153,76001,247000,"P 3 BONAPHOR CONCENTRATE                                              "
167700154,76001,375000,"PENNSAN CIP-DF                                                        "
167700156,67301,30000,"LUBRI-KLENZ PLUS                                                      "
167700156,69105,1e+05,"LUBRI-KLENZ PLUS                                                      "
167700157,62201,28500,"SOLID CHOICE PLUS                                                     "
167700157,64103,30000,"SOLID CHOICE PLUS                                                     "
167700158,595,69000,"VORTEXX                                                               "
167700158,63201,44000,"VORTEXX                                                               "
167700158,128919,33000,"VORTEXX                                                               "
167700159,595,270000,"TX-8848                                                               "
167700159,63201,45000,"TX-8848                                                               "
167700160,54901,15000,"POWDERED PENNSOFT G BACTERIOSTATIC FABRIC CONDITIONER/LEXOL 300       "
167700161,54901,15000,"PENNSTAT                                                              "
167700162,54901,20000,"SOUR-STAT                                                             "
167700163,11001,514000,"ECO2000-XP                                                            "
167700164,595,112000,"TSUNAMI 100                                                           "
167700164,63201,152000,"TSUNAMI 100                                                           "
167700165,595,149000,"ENVIRO SAN II                                                         "
167700165,63201,71000,"ENVIRO SAN II                                                         "
167700166,11001,5e+05,"ECO2000-RX                                                            "
167700167,69105,1e+05,"BOOT WASH  10                                                         "
167700168,46901,16000,"MONARCH LOW-FOAM IODOPHOR GERMICIDAL DETERGENT                        "
167700169,76001,450000,"MONARCH 400 SANITIZER                                                 "
167700169,98002,105000,"MONARCH 400 SANITIZER                                                 "
167700170,69105,1e+05,"MONARCH SUPER KABON                                                   "
167700171,14703,64000,"MONOKLOR LIQUID                                                       "
167700172,46905,35000,"ADVANTAGE                                                             "
167700172,76001,251000,"ADVANTAGE                                                             "
167700173,81404,250000,"MONARCH CL-14                                                         "
167700174,46905,17500,"MONARCH BAC'CIDE                                                      "
167700174,76001,80000,"MONARCH BAC'CIDE                                                      "
167700175,81404,990000,"CLX                                                                   "
167700176,14703,950000,"SANEZE                                                                "
167700177,14703,125000,"FUL-BAC                                                               "
167700178,46903,898000,"MONARCH IODINE CONCENTRATE                                            "
167700179,69105,30000,"PHOS-ENQUAT                                                           "
167700179,69149,13500,"PHOS-ENQUAT                                                           "
167700179,69165,22500,"PHOS-ENQUAT                                                           "
167700179,69166,9000,"PHOS-ENQUAT                                                           "
167700180,69105,30000,"ENQUAT                                                                "
167700180,69149,13500,"ENQUAT                                                                "
167700180,69165,22500,"ENQUAT                                                                "
167700180,69166,9000,"ENQUAT                                                                "
167700181,14703,1e+05,"MONARCH - FUL- CHLOR                                                  "
167700182,81407,250000,"MONOKLOR                                                              "
167700184,595,114000,"KX-6078                                                               "
167700184,63201,149000,"KX-6078                                                               "
167700185,595,112000,"ENVIRO SAN                                                            "
167700185,63201,152000,"ENVIRO SAN                                                            "
167700186,595,112000,"VICTORY                                                               "
167700186,63201,152000,"VICTORY                                                               "
167700187,14703,52500,"CD - 600                                                              "
167700188,14703,125000,"CD-612                                                                "
167700189,595,270000,"SURPASS 100                                                           "
167700189,63201,45000,"SURPASS 100                                                           "
167700190,595,112000,"COOLINGCARE 2915                                                      "
167700190,63201,152000,"COOLINGCARE 2915                                                      "
167700191,11001,540000,"ECO2000-GR                                                            "
167700192,103301,974000,"ECO2000-FB                                                            "
167700193,595,112000,"ADVACARE 120 SANITIZER/SOUR                                           "
167700193,63201,152000,"ADVACARE 120 SANITIZER/SOUR                                           "
167700194,128955,10900,"MANDATE PLUS                                                          "
167700194,217500,63000,"MANDATE PLUS                                                          "
167700195,11001,449500,"ECO2000-RX FRESHBAIT                                                  "
167700196,11001,434000,"ECO 2000-XP FRESHBAIT                                                 "
167700197,69105,23300,"SANIMASTER III                                                        "
167700197,69149,8700,"SANIMASTER III                                                        "
167700197,69165,17500,"SANIMASTER III                                                        "
167700197,69166,8700,"SANIMASTER III                                                        "
167700198,69105,30000,"MULTI-QUAT                                                            "
167700198,69149,13500,"MULTI-QUAT                                                            "
167700198,69165,22500,"MULTI-QUAT                                                            "
167700198,69166,9000,"MULTI-QUAT                                                            "
167700199,128919,1380,"QUANTUM TB DISINFECTANT                                               "
167700201,81407,990000,"SOLID SANITIZER                                                       "
167700202,69105,24800,"OASIS PRO 66 HEAVY DUTY ALKALINE BATHROOM CLEANER AND DISINFECTANT    "
167700202,69149,5200,"OASIS PRO 66 HEAVY DUTY ALKALINE BATHROOM CLEANER AND DISINFECTANT    "
167700203,595,275000,"OXYSEPT LDI                                                           "
167700203,63201,58000,"OXYSEPT LDI                                                           "
167700204,128919,30500,"65 DISINFECTING HEAVY DUTY ACID BATHROOM CLEANER                      "
167700205,43901,150000,"A-215                                                                 "
167700206,43901,450000,"A-245                                                                 "
167700207,595,75200,"OCTAVE                                                                "
167700207,63209,9400,"OCTAVE                                                                "
167700207,128919,27200,"OCTAVE                                                                "
167700208,47501,7e+05,"SPIRICLENS SPRAY                                                      "
167700209,595,75200,"OCTAVE FS                                                             "
167700209,63209,10000,"OCTAVE FS                                                             "
167700209,128919,28500,"OCTAVE FS                                                             "
167700210,14703,125000,"MIDLAND 655                                                           "
