OR Apple   MLRA-2,"Salem, OR",W24232,375.6,0.87,1961,1990,Complete,Active,OR1App
OR Christmas Trees  MLRA-2,"Salem, OR",W24232,132.9,0.87,1961,1990,Complete,Active,OR1Xma
OR Filberts   MLRA-2,"Salem, OR",W24232,346.5,0.87,1961,1990,Complete,Active,OR1Fil
OR Grass Seed   MLRA-2,"Salem, OR",W24232,205.8,0.87,1961,1990,Complete,Active,OR1Gra
OR Hops   MLRA-2,"Salem, OR",W24232,327.9,0.87,1961,1990,Complete,Active,OR1Hop
OR Mint   MLRA-2,"Salem, OR",W24232,310.2,0.87,1961,1990,Complete,Active,OR1Min
PA Apple   MLRA-148,"Harrisburg, PA",W14751,351,0.87,1961,1990,Complete,Active,PA1App
PA Corn   MLRA-148,"Harrisburg, PA",W14751,547.5,0.46,1961,1990,Complete,Active,PA1Cor
PA Turf  MLRA-148,"Harrisburg, PA",W14751,122.1,0.87,1961,1990,Complete,Active,PA1Tur
PR Coffee MLRA-270,"San Juan, PR",W11641,687.6,0.87,1961,1990,Complete,Active,PR1Cof
