,COMID,StateCode,Pwsid,SystemName,SourceName,SWSourceTy,Region
32,7718654,9,CT0150011,BHC-MAIN SYSTEM,TRAP FALLS RESERVOIR,3.0,1
33,6177638,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE SALTONSTAL INTAKE,3.0,1
34,7717646,9,CT0150011,BHC-MAIN SYSTEM,FAR MILL RESERVOIR,3.0,1
35,6178442,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE SALTONSTALL,3.0,1
36,7733191,9,CT0150011,BHC-MAIN SYSTEM,PEQUONNOCK RIVER WEST BRANCH,1.0,1
37,7718458,9,CT0150011,BHC-MAIN SYSTEM,MEANS BROOK RESERVOIR,3.0,1
38,6178080,9,CT0608011,CTWC-SHORELINE REGION-GUILFORD SYSTEM,KELSYTOWN RESERVOIR INTAKE,3.0,1
39,6178080,9,CT0608011,CTWC-SHORELINE REGION-GUILFORD SYSTEM,KELSEYTOWN RESERVOIR,3.0,1
40,6178252,9,CT0930011,REGIONAL WATER AUTHORITY,FURNACE POND,2.0,1
41,6178252,9,CT0930011,REGIONAL WATER AUTHORITY,LILY POND,3.0,1
42,6178154,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE GAILLARD INTAKE,3.0,1
43,25076318,9,CT0090011,BETHEL WATER DEPT,CHESTNUT RIDGE RESERVOIR,3.0,1
44,6170530,9,CT0590011,GROTON UTILITIES,POQUONNOCK RES INTAKE,3.0,1
45,7717468,9,CT0090011,BETHEL WATER DEPT,CHESTNUT RIDGE INTAKE,3.0,1
46,6178220,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE WHITNEY,3.0,1
47,6178128,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE GAILLARD,3.0,1
48,6170722,9,CT0590011,GROTON UTILITIES,SMITH LAKE,3.0,1
49,6178384,9,CT0608011,CTWC-SHORELINE REGION-GUILFORD SYSTEM,KILLINGWORTH RESERVOIR INTAKE,3.0,1
50,6170728,9,CT0590011,GROTON UTILITIES,POQUONNOCK RESERVOIR,3.0,1
51,6178384,9,CT0608011,CTWC-SHORELINE REGION-GUILFORD SYSTEM,KILLINGWORTH RESERVOIR,3.0,1
52,6168934,9,CT1370011,AQUARION WATER CO OF CT-MYSTIC DIVISION,PALMER RESERVOIR INTAKE,3.0,1
53,6170842,9,CT0590011,GROTON UTILITIES,POHEGANOT RESERVOIR,3.0,1
54,6178186,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE DAWSON INTAKE,3.0,1
55,6168934,9,CT1370011,AQUARION WATER CO OF CT-MYSTIC DIVISION,PALMER RESERVOIR,3.0,1
56,6178638,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE HAMMONASSET,3.0,1
57,6170720,9,CT0590011,GROTON UTILITIES,BUDDINGTON POND,3.0,1
58,6178186,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE DAWSON,3.0,1
59,6177258,9,CT0930011,REGIONAL WATER AUTHORITY,WEST RIVER,1.0,1
60,6168928,9,CT1370011,AQUARION WATER CO OF CT-MYSTIC DIVISION,DEANS MILL RESERVOIR,3.0,1
61,6178162,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE GLEN INTAKE,3.0,1
62,6177242,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE GLEN,3.0,1
63,7718448,9,CT0340011,DANBURY WATER DEPT,LAKE KENOSIA,3.0,1
64,6178136,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE WATROUS INTAKE,3.0,1
65,6178058,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE MENUNKATUCK,3.0,1
66,6178136,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE WATROUS,3.0,1
67,166445170,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE CHAMBERLAIN,3.0,1
68,6170682,9,CT0590011,GROTON UTILITIES,LEDYARD RESERVOIR,3.0,1
69,166182043,9,CT1480011,WALLINGFORD WATER DEPARTMENT,LANE'S POND,2.0,1
70,7718418,9,CT0340011,DANBURY WATER DEPT,WEST LAKE RESERVOIR INTAKE,3.0,1
71,6170714,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,LAKE KONOMOC INTAKE,3.0,1
72,7718404,9,CT0340011,DANBURY WATER DEPT,WEST LAKE RESERVOIR,3.0,1
73,7702628,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,DUESES POND INTAKE,3.0,1
74,7702628,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,DEUSES POND,3.0,1
75,7702778,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,WILCOX RESERVOIR INTAKE,3.0,1
76,6170714,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,LAKE KONOMOC RESERVOIR,2.0,1
77,7718352,9,CT0340011,DANBURY WATER DEPT,LOWER KOHANZA RESERVOIR,3.0,1
78,7702778,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,WILCOX RESERVOIR,3.0,1
79,7718634,9,CT0340011,DANBURY WATER DEPT,BOGGS POND,3.0,1
80,6178082,9,CT0930011,REGIONAL WATER AUTHORITY,LAKE BETHANY,3.0,1
81,7702288,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,LOWER CHESTER RESERVOIR INTAKE,3.0,1
82,6170162,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,GREAT SWAMP,3.0,1
83,7702976,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,LOWER CHESTER RESERVOIR,3.0,1
84,7718630,9,CT0340011,DANBURY WATER DEPT,UPPER KOHANZA LAKE,3.0,1
85,6177824,9,CT1480011,WALLINGFORD WATER DEPARTMENT,PISTAPAUG POND INTAKE,2.0,1
86,7702770,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,TURKEY HILL RESERVOIR INTAKE,3.0,1
87,7702246,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,UPPER CHESTER RESERVOIR INTAKE,3.0,1
88,7702246,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,UPPER CHESTER RESERVOIR,3.0,1
89,6178376,9,CT1480011,WALLINGFORD WATER DEPARTMENT,PISTAPAUG POND,3.0,1
90,25075729,9,CT0590011,GROTON UTILITIES,MORGAN POND RESERVOIR,3.0,1
91,7702770,9,CT0261031,CTWC - SHORELINE REGION - CHESTER SYSTEM,TURKEY HILL RESERVOIR,3.0,1
92,7718324,9,CT0340011,DANBURY WATER DEPT,PADANARAM RESERVOIR,3.0,1
93,6170158,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,BOGUE BROOK RESERVOIR INTAKE,3.0,1
94,6170672,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,BOGUE BROOK RESERVOIR,3.0,1
95,6170146,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,BECKWITH POND,3.0,1
96,7718612,9,CT0340011,DANBURY WATER DEPT,MARGERIE RESERVOIR INTAKE,3.0,1
97,7718276,9,CT0340011,DANBURY WATER DEPT,EAST LAKE RESERVOIR,3.0,1
98,6178022,9,CT1480011,WALLINGFORD WATER DEPARTMENT,MACKENSIE RESERVOIR,3.0,1
99,6170614,9,CT0590011,GROTON UTILITIES,BILLINGS AVERY BROOK,1.0,1
100,6177998,9,CT1480011,WALLINGFORD WATER DEPARTMENT,ULBRICH RESERVOIR,3.0,1
101,7718612,9,CT0340011,DANBURY WATER DEPT,MARGERIE RESERVOIR,3.0,1
102,6170664,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,BARNES RESERVOIR INTAKE,3.0,1
103,6170966,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,BARNES RESERVOIR,3.0,1
104,7714878,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,TWITCHELL RESERVOIR INTAKE,3.0,1
105,7714878,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,TWITCHELL RESERVOIR,3.0,1
106,6170640,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,FAIRY LAKE INTAKE,3.0,1
107,6170640,9,CT0950011,NEW LONDON DEPT. OF PUBLIC UTILITIES,FAIRY LAKE RESERVOIR,2.0,1
108,7715040,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,LONG HILL RESERVOIR,3.0,1
109,7716634,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,LOWER CANDEE RESERVOIR INTAKE,3.0,1
110,7716634,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,LOWER CANDEE RESERVOIR,3.0,1
111,7716638,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,STRAITSVILLE RESERVOIR INTAKE,3.0,1
112,7718016,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,STRAITSVILLE RESERVOIR,3.0,1
113,7718012,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,MOODY RESERVOIR,3.0,1
114,6170586,9,CT1040011,NORWICH PUBLIC UTILITIES,STONY BROOK RESERVOIR INTAKE,3.0,1
115,6131431,44,RI1592010,NEWPORT-CITY OF,SOUTH POND (Easton Pond),3.0,1
116,7716500,9,CT0880011,CTWC - NAUGATUCK REGION-CENTRAL SYSTEM,HOPKINS BROOK,1.0,1
117,6131429,44,RI1592010,NEWPORT-CITY OF,NORTH POND (Green End Pond),3.0,1
118,6170586,9,CT1040011,NORWICH PUBLIC UTILITIES,STONY BROOK RESERVOIR,3.0,1
119,6178362,9,CT0800011,MERIDEN WATER DIVISION,BROAD BROOK RESERVOIR,3.0,1
120,6130929,44,RI1858419,JAMESTOWN WATER DEPARTMENT,SOUTH POND,2.0,1
121,6178362,9,CT0800011,MERIDEN WATER DIVISION,BROAD BROOK RESERVOIR INTAKE,3.0,1
122,6129343,44,RI1858419,JAMESTOWN WATER DEPARTMENT,NORTH POND,2.0,1
123,7701370,9,CT0830021,CONNECTICUT VALLEY HOSPITAL,Connecticut Valley Hospital RESerVoiR #6,3.0,1
124,7701430,9,CT0830011,MIDDLETOWN WATER DEPARTMENT,MOUNT HIGBY RESERVOIR #3,3.0,1
125,7701366,9,CT0830021,CONNECTICUT VALLEY HOSPITAL,Connecticut Valley Hospital  RESerVorR #5,3.0,1
126,7701228,9,CT0830021,CONNECTICUT VALLEY HOSPITAL,CVH RESERVOIRS #3 & #4,3.0,1
127,6130887,44,RI1592010,NEWPORT-CITY OF,H E WATSON RESERVOIR,3.0,1
128,6168554,9,CT1040011,NORWICH PUBLIC UTILITIES,DEEP RIVER RESERVOIR,3.0,1
129,7700482,9,CT0830021,CONNECTICUT VALLEY HOSPITAL,Connecticut Valley Hospital RESerVoiR #3 & #4 INTAKE,3.0,1
130,6130499,44,RI1592010,NEWPORT-CITY OF,NONQUIT POND,3.0,1
131,6168554,9,CT1040011,NORWICH PUBLIC UTILITIES,DEEP RIVER RESERVOIR INTAKE,3.0,1
132,6174654,9,CT0800011,MERIDEN WATER DIVISION,BRADLEY HUBBARD RESERVOIR INTAKE,3.0,1
133,6174654,9,CT0800011,MERIDEN WATER DIVISION,BRADLEY HUBBARD RESERVOIR,3.0,1
134,6130513,44,RI1592010,NEWPORT-CITY OF,LAWTON VALLEY RESERVOIR,3.0,1
135,7701368,9,CT0800011,MERIDEN WATER DIVISION,HALLMERE RESERVOIR,3.0,1
136,6174432,9,CT1310011,SOUTHINGTON WATER WORKS DEPARTMENT,RESERVOIR #1 INTAKE,3.0,1
137,6174432,9,CT1310011,SOUTHINGTON WATER WORKS DEPARTMENT,SOUTHINGTON RESERVOIR #1,3.0,1
138,25075990,9,CT1310011,SOUTHINGTON WATER WORKS DEPARTMENT,SOUTHINGTON RESERVOIR #2,3.0,1
139,7701208,9,CT0800011,MERIDEN WATER DIVISION,KENMERE RESERVOIR,3.0,1
140,7701156,9,CT0890011,NEW BRITAIN WATER DEPARTMENT,SOUTH HART POND,3.0,1
141,6174628,9,CT0890011,NEW BRITAIN WATER DEPARTMENT,WOLCOTT RESERVOIR,3.0,1
142,7701152,9,CT0890011,NEW BRITAIN WATER DEPARTMENT,NORTH HART POND,3.0,1
143,7701448,9,CT0890011,NEW BRITAIN WATER DEPARTMENT,WASEL RESERVOIR INTAKE,3.0,1
144,6149045,9,CT0580011,JEWETT CITY WATER COMPANY,STONEHILL RESERVOIR INTAKE,3.0,1
145,6149779,9,CT0580011,JEWETT CITY WATER COMPANY,STONE HILL RESERVOIR,3.0,1
146,7714424,36,NY1316987,HARLEM VALLEY SECURE CENTER,RESERVOIR (51MG),3.0,1
147,7713718,36,NY1316987,HARLEM VALLEY SECURE CENTER,SWAMP RIVER,1.0,1
148,7713680,9,CT1510011,WATERBURY WATER DEPARTMENT,WIGWAM RESERVOIR INTAKE,3.0,1
149,7713994,9,CT1510011,WATERBURY WATER DEPARTMENT,WIGWAM RESERVOIR INTAKE,3.0,1
150,7713994,9,CT1510011,WATERBURY WATER DEPARTMENT,WIGWAM RESERVOIR,3.0,1
151,7714528,9,CT1510011,WATERBURY WATER DEPARTMENT,MORRIS RESERVOIR INTAKE,3.0,1
152,7714478,9,CT1510011,WATERBURY WATER DEPARTMENT,MORRIS RESERVOIR,3.0,1
153,7712642,9,CT1510011,WATERBURY WATER DEPARTMENT,PITCH RESERVOIR INTAKE,3.0,1
154,7714520,9,CT1510011,WATERBURY WATER DEPARTMENT,PITCH RESERVOIR,3.0,1
155,166174885,25,MA4095000,FALL RIVER WATER DEPARTMENT,NORTH WATUPPA POND,2.0,1
156,5881391,25,MA4095000,FALL RIVER WATER DEPARTMENT,COPICUT RESERVOIR,3.0,1
157,6111491,9,CT0170011,BRISTOL WATER DEPT,BRISTOL RESERVOIR #3,3.0,1
158,7701030,9,CT0770021,TOWN OF MANCHESTER WATER DEPARTMENT,BUCKINGHAM RESERVOIR,3.0,1
159,6111519,9,CT0170011,BRISTOL WATER DEPT,BRISTOL RESERVOIR #2,3.0,1
160,6128989,44,RI1647515,BRISTOL COUNTY WATER AUTHORITY,KICKAMUIT RESERVOIR (Warren Reservoir),3.0,1
161,6111489,9,CT0170011,BRISTOL WATER DEPT,BRISTOL RESERVOIR #5,3.0,1
162,7713948,9,CT1510011,WATERBURY WATER DEPARTMENT,SHEPAUG RESERVOIR,3.0,1
163,6109655,9,CT0890011,NEW BRITAIN WATER DEPARTMENT,WHIGVILLE RESERVOIR,3.0,1
164,6163145,9,CT1630011,WINDHAM WATER WORKS,WILLIMANTIC RESERVOIR,3.0,1
165,6163145,9,CT1630011,WINDHAM WATER WORKS,WILLIMANTIC RESERVOIR,3.0,1
166,6111487,9,CT0170011,BRISTOL WATER DEPT,BRISTOL RESERVOIR #4,3.0,1
167,6130387,44,RI1592024,PROVIDENCE-CITY OF,SCITUATE RESERVOIR,3.0,1
168,7700770,9,CT0640011,METROPOLITAN DISTRICT COMMISSION,WEST HARTFORD #5 INTAKE,3.0,1
169,7701012,9,CT0770021,TOWN OF MANCHESTER WATER DEPARTMENT,GLOBE HOLLOW RESERVOIR INTAKE,3.0,1
170,7701010,9,CT0770021,TOWN OF MANCHESTER WATER DEPARTMENT,GLOBE HOLLOW RESERVOIR,3.0,1
171,7713916,9,CT1510011,WATERBURY WATER DEPARTMENT,CAIRNS RESERVOIR,3.0,1
172,6163127,9,CT1630011,WINDHAM WATER WORKS,MANSFIELD HOLLOW RESERVOIR,3.0,1
173,7700980,9,CT0770021,TOWN OF MANCHESTER WATER DEPARTMENT,HOWARD RESERVOIR,3.0,1
174,6130097,25,MA4273000,SOMERSET WATER DEPARTMENT,SOMERSET RESERVOIR,3.0,1
175,6126669,25,MA4201000,NEW BEDFORD WATER DEPARTMENT,LITTLE QUITTICAS POND (5): TERMINAL,2.0,1
176,6126661,25,MA4293000,TAUNTON WATER DEPARTMENT,GREAT QUITTACAS POND (4),2.0,1
177,6126661,25,MA4201000,NEW BEDFORD WATER DEPARTMENT,GREAT QUITTICAS POND (4),2.0,1
178,24977716,25,MA4293000,TAUNTON WATER DEPARTMENT,LITTLE QUITTACAS POND (5),2.0,1
179,7700968,9,CT0770021,TOWN OF MANCHESTER WATER DEPARTMENT,LYDALL RESERVOIR NO.2,3.0,1
180,7700966,9,CT0770021,TOWN OF MANCHESTER WATER DEPARTMENT,LYDALL RESERVOIR NO.1,3.0,1
181,6109631,9,CT0230011,"CTWC, NAUGATUCK REG-COLLINSVILLE SYS",NEPAUG RESERVOIR,3.0,1
182,7700964,9,CT0770021,TOWN OF MANCHESTER WATER DEPARTMENT,RISLEY RESERVOIR,3.0,1
183,6130093,44,RI1647515,BRISTOL COUNTY WATER AUTHORITY,SHAD FACTORY RESERVOIR,3.0,1
184,6109629,9,CT0230011,"CTWC, NAUGATUCK REG-COLLINSVILLE SYS",MDC NEPAUG RESERVOIR,3.0,1
185,6126449,25,MA4293000,TAUNTON WATER DEPARTMENT,POCKSHA POND RESERVOIR (3),3.0,1
186,6126643,25,MA4201000,NEW BEDFORD WATER DEPARTMENT,POCKHSA POND (3),3.0,1
187,7712250,9,CT1430011,TORRINGTON WATER COMPANY,ALLEN DAM RESERVOIR INTAKE,3.0,1
188,7713826,9,CT1430011,TORRINGTON WATER COMPANY,ALLEN DAM RESERVOIR,3.0,1
189,6109225,9,CT0640011,METROPOLITAN DISTRICT COMMISSION,NEPAUG RESERVOIR,3.0,1
190,6126617,25,MA4201000,NEW BEDFORD WATER DEPARTMENT,LONG POND (1),2.0,1
191,6126617,25,MA4293000,TAUNTON WATER DEPARTMENT,LONG POND RIVER,1.0,1
192,6126641,25,MA4293000,TAUNTON WATER DEPARTMENT,ASSAWOMPSET POND (2),2.0,1
193,6126641,25,MA4201000,NEW BEDFORD WATER DEPARTMENT,ASSAWOMPSET POND (2),2.0,1
194,7714256,9,CT1430011,TORRINGTON WATER COMPANY,WHIST POND,2.0,1
195,7700038,9,CT0473011,"CTWC, NORTHERN REG, WESTERN SYSTEM",LAKE SHENIPSIT INTAKE,3.0,1
196,7722746,9,CT1430011,TORRINGTON WATER COMPANY,REUBEN HART RESERVOIR INTAKE,3.0,1
197,7722746,9,CT1430011,TORRINGTON WATER COMPANY,REUBEN HART RESERVOIR,3.0,1
198,7700920,9,CT0473011,"CTWC, NORTHERN REG, WESTERN SYSTEM",SHENIPSIT LAKE,3.0,1
199,7714258,9,CT1250011,SHARON WATER & SEWER COMM,BEARDSLEY RESERVOIR INTAKE,3.0,1
200,7714258,9,CT1250011,SHARON WATER & SEWER COMM,BEARDSLEY POND RESERVOIR,3.0,1
201,6119064,44,RI1592021,PAWTUCKET-CITY OF,DIAMOND HILL RESERVOIR,3.0,1
202,6109547,9,CT0640011,METROPOLITAN DISTRICT COMMISSION,BARKHAMSTED RESERVOIR,3.0,1
203,7714226,9,CT1430011,TORRINGTON WATER COMPANY,NORTH POND,2.0,1
204,6148469,9,CT1160011,PUTNAM WATER POLLUTION CONTROL AUTHORITY,LITTLE Brook,1.0,1
205,6111477,9,CT1620011,WINSTED WATER WORKS,RUGG BROOK RESERVOIR,3.0,1
206,6128147,25,MA4016000,ATTLEBORO WATER DEPT,MANCHESTER POND RESERVOIR,3.0,1
207,6118958,44,RI1559518,WOONSOCKET WATER DEPARTMENT,WOONSOCKET RESERVOIR #3,3.0,1
208,7714212,9,CT0980011,AQUARION WATER CO OF CT-NORFOLK SYSTEM,WANGUM LAKE INTAKE,3.0,1
209,7713778,9,CT1220011,AQUARION WATER CO OF CT-SALISBURY SYS,LAKEVILLE RESERVOIR 2 INTAKE,3.0,1
210,6119280,44,RI1559518,WOONSOCKET WATER DEPARTMENT,WOONSOCKET RESERVOIR #1,3.0,1
211,7713778,9,CT1220011,AQUARION WATER CO OF CT-SALISBURY SYS,LAKEVILLE RESERVOIR #2,3.0,1
212,6162909,9,CT1340011,CTWC - NORTHERN REG-STAFFORD SYSTEM,RESERVOIR 2 INTAKE,3.0,1
213,6163027,9,CT1340011,CTWC - NORTHERN REG-STAFFORD SYSTEM,STAFFORD RESERVOIR NO. 2,3.0,1
214,7714212,9,CT0980011,AQUARION WATER CO OF CT-NORFOLK SYSTEM,LAKE WANGUM,3.0,1
215,6119386,44,RI1647530,"CUMBERLAND, TOWN OF",SNEECH POND RESERVOIR,3.0,1
216,7711880,9,CT1220011,AQUARION WATER CO OF CT-SALISBURY SYS,LAKEVILLE RESERVOIR 3,3.0,1
217,6163019,9,CT1340011,CTWC - NORTHERN REG-STAFFORD SYSTEM,RESERVOIR 3 (Mathews Pond),3.0,1
218,6116414,44,RI1647516,ELEANOR SLATER HOSPITAL/ZAMBARANO UNIT,WALLUM LAKE,2.0,1
219,6160381,9,CT1340011,CTWC - NORTHERN REG-STAFFORD SYSTEM,RESERVOIR 4 (Moores Pond),3.0,1
220,6116360,44,RI1559518,WOONSOCKET WATER DEPARTMENT,HARRIS POND,3.0,1
221,5876641,25,MA4044000,BROCKTON WATER COMMISSION,SILVER LAKE,2.0,1
222,6147023,25,MA2278000,SOUTHBRIDGE WATER DEPARTMENT,HATCHET POND,2.0,1
223,6147007,25,MA2278000,SOUTHBRIDGE WATER DEPARTMENT,HATCHET BROOK RESERVOIR NO 5,3.0,1
224,6146999,25,MA2278000,SOUTHBRIDGE WATER DEPARTMENT,COHASSE BROOK RESERVOIR,3.0,1
225,6146995,25,MA2278000,SOUTHBRIDGE WATER DEPARTMENT,HATCHET BROOK RESERVOIR NO 4,3.0,1
226,6147717,25,MA2278000,SOUTHBRIDGE WATER DEPARTMENT,HATCHET BROOK RESERVOIR NO 3,3.0,1
227,6097545,25,MA1329000,WESTFIELD WATER DEPARTMENT,GRANVILLE RESERVOIR,3.0,1
228,6125959,25,MA4044000,BROCKTON WATER COMMISSION,AVON RESERVOIR (Brockton Reservoir),3.0,1
229,6097311,25,MA1281000,SPRINGFIELD WATER & SEWER COMMISSION,INTAKE RESERVOIR,3.0,1
230,6097533,25,MA1281000,SPRINGFIELD WATER & SEWER COMMISSION,COBBLE MOUNTAIN RESERVOIR,3.0,1
231,6096501,25,MA1281000,SPRINGFIELD WATER & SEWER COMMISSION,HOLDING POND,2.0,1
232,6097597,25,MA1325000,WEST SPRINGFIELD WATER DEPARTMENT,BEAR HOLE BROOK RESERVOIR,3.0,1
233,6097531,25,MA1281000,SPRINGFIELD WATER & SEWER COMMISSION,BORDEN BROOK RESERVOIR,3.0,1
234,5868027,25,MA2185000,MILFORD WATER COMPANY,LOUISA LAKE,2.0,1
235,7709988,25,MA1090000,EGREMONT WATER DEPARTMENT,KARNER BROOK RESERVOIR,3.0,1
236,7692357,25,MA1227000,PALMER WATER DISTRICT #1,GRAVES BROOK LOWER RESERVIOR,3.0,1
237,6096403,25,MA1329000,WESTFIELD WATER DEPARTMENT,MONTGOMERY RESERVOIR,3.0,1
238,5866779,25,MA2185000,MILFORD WATER COMPANY,CHARLES RIVER,1.0,1
239,7692357,25,MA1227000,PALMER WATER DISTRICT #1,GRAVES BROOK UPPER RESERVIOR,3.0,1
240,5876075,25,MA4264000,SCITUATE WATER DIVISION,OLD OAKEN BUCKET POND,2.0,1
241,5866731,25,MA2185000,MILFORD WATER COMPANY,ECHO LAKE RESERVOIR,3.0,1
242,6096349,25,MA1256000,RUSSELL WATER DEPARTMENT,LOWER BLACK BROOK RESERVOIR,3.0,1
243,7692133,25,MA1281000,SPRINGFIELD WATER & SEWER COMMISSION,LUDLOW RESERVOIR,3.0,1
244,6098757,25,MA1033000,BLANDFORD WATER DEPARTMENT,LONG POND RESERVIOR,3.0,1
245,6096349,25,MA1256000,RUSSELL WATER DEPARTMENT,UPPER BLACK BROOK RESERVOIR,3.0,1
246,6782195,25,MA1137000,HOLYOKE WATER WORKS,MANHAN RESERVOIR,3.0,1
247,7709888,25,MA1113003,HOUSATONIC WATER WORKS,LONG POND,3.0,1
248,6145069,25,MA2151001,CHERRY VALLEY & ROCHDALE WATER DISTRICT,HENSHAW POND,2.0,1
