Ingredient,Site Desc,Use Group Desc,Reg#,LUIS Accepted Date,AI%,Formulation Desc,Product Name,Original (Product / A. I.) Max App Rate,A. I. Max App Rate,Max # Apps @ Max Rate / CC,Product Seasonal Max Dose/Year,A. I. Conv Seasonal Max Dose/Year,Product Seasonal Max Dose/CC,A. I. Seasonal Max Dose/CC,Max # Apps @ Max Rate / Unit of Time,Minimum Retreatment Interval,Rentry Interval,Application Method Type,Application Method Equipment,Application Method Timing,Incorporation Depth,Buffer Restriction,Disallowed Geo Areas,Allowable Geo Areas,Soil Factor,Percent Organic Matter
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,WY070004,11/3/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Chemigation.,Sprinkler irrigation.,Foliar.,,,,Wyoming,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,WY070004,11/3/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Aircraft.,Foliar.,,,,Wyoming,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,WY070004,11/3/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Ground.,Foliar.,,,,Wyoming,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1.5 lb/ 1 a,.75 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1.5 lb/ 1 a,.75 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1.5 lb/ 1 a,.75 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1.5 lb/ 1 a,.75 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,ALMOND,TERRESTRIAL FOOD + FEED,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,AVOCADO,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,"BEANS, DRIED-TYPE",TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,2,NS,NS,NS,NS,NS,14 d,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,"BEANS, DRIED-TYPE",TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,2,NS,NS,NS,NS,NS,14 d,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,"BEANS, DRIED-TYPE",TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,2,NS,NS,NS,NS,NS,14 d,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,"BEANS, DRIED-TYPE",TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,2,NS,NS,NS,NS,NS,14 d,12 hr,Spray.,Fixed-wing aircraft.,Foliar.,,,,,,
Bifenazate,"BEANS, DRIED-TYPE",TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,2,NS,NS,NS,NS,NS,14 d,12 hr,Spray.,Helicopter.,Foliar.,,,,,,
Bifenazate,"BEANS, DRIED-TYPE",TERRESTRIAL FOOD + FEED,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,2,NS,NS,NS,NS,NS,14 d,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,21 d,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,BUSHBERRIES,TERRESTRIAL NON-FOOD,400-519,6/25/2007,75,DF,ACRAMITE-75WG,.67 lb/ 1 a,.5025 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-503,12/17/2010,50,WP,ACRAMITE-50WS,1 lb/ 1 a,.5 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,CANEBERRIES,TERRESTRIAL FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,2,NS,NS,NS,NS,NS,30 d,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-481,7/19/2010,50,WP,FLORAMITE,4 oz/ 100 gal  W/ 400 gal/ 1 a,.5 lb / a,NS,16 oz /  a,.5 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Airblast.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-481,7/19/2010,50,WP,FLORAMITE,4 oz/ 100 gal  W/ 400 gal/ 1 a,.5 lb / a,NS,16 oz /  a,.5 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-481,7/19/2010,50,WP,FLORAMITE,4 oz/ 100 gal  W/ 400 gal/ 1 a,.5 lb / a,NS,16 oz /  a,.5 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-481,7/19/2010,50,WP,FLORAMITE,4 oz/ 100 gal  W/ 400 gal/ 1 a,.5 lb / a,NS,16 oz /  a,.5 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Hose-end sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-481,7/19/2010,50,WP,FLORAMITE,4 oz/ 100 gal  W/ 400 gal/ 1 a,.5 lb / a,NS,16 oz /  a,.5 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-508,11/17/2008,22.6,L,FLORAMITE SC,8 fl oz/ 100 gal  W/ 400 gal/ 1 a,.49858339 lb / a,NS,32 fl oz /  a,.498895 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Airblast.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-508,11/17/2008,22.6,L,FLORAMITE SC,8 fl oz/ 100 gal  W/ 400 gal/ 1 a,.49858339 lb / a,NS,32 fl oz /  a,.498895 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-508,11/17/2008,22.6,L,FLORAMITE SC,8 fl oz/ 100 gal  W/ 400 gal/ 1 a,.49858339 lb / a,NS,32 fl oz /  a,.498895 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-508,11/17/2008,22.6,L,FLORAMITE SC,8 fl oz/ 100 gal  W/ 400 gal/ 1 a,.49858339 lb / a,NS,32 fl oz /  a,.498895 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Hose-end sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-508,11/17/2008,22.6,L,FLORAMITE SC,8 fl oz/ 100 gal  W/ 400 gal/ 1 a,.49858339 lb / a,NS,32 fl oz /  a,.498895 lb / a,NS,NS,2 / yr,NS,12 hr,Ground spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Airblast.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Fixed-wing aircraft.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Helicopter.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-514,2/4/2011,43.2,FlC,ACRAMITE-4SC,16 fl oz/ 1 a,.4995 lb / a,1,NS,NS,NS,NS,NS,NS,12 hr,Spray.,Hydraulic sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-572,5/14/2010,43.2,FlC,PREVAMITE,6 fl oz/ 100 gal  W/ 200 gal/ 1 a,.37687834 lb / a,NS,NS,NS,NS,NS,2 / yr,7 d,12 hr,Spray.,Ground.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-582,9/16/2010,43.2,FlC,PREVAMITE O,6 fl oz/ 100 gal  W/ 200 gal/ 1 a,.37687834 lb / a,NS,NS,NS,NS,NS,2 / yr,7 d,12 hr,Ground spray.,Airblast.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-582,9/16/2010,43.2,FlC,PREVAMITE O,6 fl oz/ 100 gal  W/ 200 gal/ 1 a,.37687834 lb / a,NS,NS,NS,NS,NS,2 / yr,7 d,12 hr,Ground spray.,Boom sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-582,9/16/2010,43.2,FlC,PREVAMITE O,6 fl oz/ 100 gal  W/ 200 gal/ 1 a,.37687834 lb / a,NS,NS,NS,NS,NS,2 / yr,7 d,12 hr,Ground spray.,Compressed air sprayer.,Foliar.,,,,,,
Bifenazate,CHRISTMAS TREE PLANTATIONS,TERRESTRIAL NON-FOOD,400-582,9/16/2010,43.2,FlC,PREVAMITE O,6 fl oz/ 100 gal  W/ 200 gal/ 1 a,.37687834 lb / a,NS,NS,NS,NS,NS,2 / yr,7 d,12 hr,Ground spray.,Hose-end sprayer.,Foliar.,,,,,,
